Código,Varón,Mujer,Total,CO_FRACC
0201410,17.0,8.0,25.0,014_10
0201411,4717.0,5508.0,10225.0,014_11
0201412,2984.0,3747.0,6731.0,014_12
0201413,3541.0,4214.0,7755.0,014_13
0201414,3353.0,4111.0,7464.0,014_14
0201415,3158.0,4187.0,7345.0,014_15
0201416,2779.0,3312.0,6091.0,014_16
0201417,2804.0,3646.0,6450.0,014_17
0201418,2916.0,3889.0,6805.0,014_18
0201419,2248.0,2973.0,5221.0,014_19
0201420,2554.0,3366.0,5920.0,014_20
0201421,2991.0,3670.0,6661.0,014_21
0201422,3778.0,4582.0,8360.0,014_22
0201423,3766.0,4423.0,8189.0,014_23
0201424,2393.0,3108.0,5501.0,014_24
0201425,2471.0,3163.0,5634.0,014_25
0201426,3018.0,3952.0,6970.0,014_26
0201427,2341.0,3167.0,5508.0,014_27
0201428,3581.0,4771.0,8352.0,014_28
0201429,3274.0,4360.0,7634.0,014_29
0201430,3473.0,4451.0,7924.0,014_30
0201431,3779.0,4663.0,8442.0,014_31
0201501,4468.0,5024.0,9492.0,015_1
0201502,3154.0,3545.0,6699.0,015_2
0201503,5168.0,5954.0,11122.0,015_3
0201504,4949.0,5665.0,10614.0,015_4
0201505,5094.0,5696.0,10790.0,015_5
0201506,2040.0,2380.0,4420.0,015_6
0201507,5198.0,5566.0,10764.0,015_7
0201508,4129.0,4824.0,8953.0,015_8
0201509,3275.0,3415.0,6690.0,015_9
0201510,4758.0,5585.0,10343.0,015_10
0201511,5050.0,5678.0,10728.0,015_11
0201512,2954.0,3448.0,6402.0,015_12
0201513,3024.0,3640.0,6664.0,015_13
0201514,4140.0,4812.0,8952.0,015_14
0201515,4105.0,4607.0,8712.0,015_15
0201516,4086.0,4861.0,8947.0,015_16
0201517,4103.0,5137.0,9240.0,015_17
0201518,3322.0,4113.0,7435.0,015_18
0201519,3567.0,4513.0,8080.0,015_19
0201520,3820.0,4726.0,8546.0,015_20
0201521,4081.0,4900.0,8981.0,015_21
