Código,Hogares sin NBI,Hogares con NBI,Total,CO_FRAC_RA
020012601,147.0,102.0,249.0,1_26_1
020012602,279.0,41.0,320.0,1_26_2
020012603,214.0,3.0,217.0,1_26_3
020012604,244.0,0.0,244.0,1_26_4
020012605,266.0,44.0,310.0,1_26_5
020012606,211.0,3.0,214.0,1_26_6
020012607,138.0,4.0,142.0,1_26_7
020012608,211.0,2.0,213.0,1_26_8
020012609,290.0,26.0,316.0,1_26_9
020012701,232.0,2.0,234.0,1_27_1
020012702,195.0,80.0,275.0,1_27_2
020012703,187.0,106.0,293.0,1_27_3
020012704,177.0,148.0,325.0,1_27_4
020012705,237.0,51.0,288.0,1_27_5
020012706,135.0,224.0,359.0,1_27_6
020012707,142.0,123.0,265.0,1_27_7
020012708,205.0,50.0,255.0,1_27_8
020012709,209.0,115.0,324.0,1_27_9
020012710,225.0,23.0,248.0,1_27_10
020012801,181.0,39.0,220.0,1_28_1
020012802,177.0,168.0,345.0,1_28_2
020012803,167.0,74.0,241.0,1_28_3
020012804,218.0,62.0,280.0,1_28_4
020012805,328.0,26.0,354.0,1_28_5
020012806,159.0,122.0,281.0,1_28_6
020012807,237.0,77.0,314.0,1_28_7
020012808,90.0,20.0,110.0,1_28_8
020012809,195.0,67.0,262.0,1_28_9
020012810,256.0,97.0,353.0,1_28_10
020012811,96.0,153.0,249.0,1_28_11
020012812,160.0,75.0,235.0,1_28_12
020012813,148.0,113.0,261.0,1_28_13
020012901,279.0,141.0,420.0,1_29_1
020012902,124.0,142.0,266.0,1_29_2
020012903,152.0,124.0,276.0,1_29_3
020012904,201.0,71.0,272.0,1_29_4
020012905,192.0,114.0,306.0,1_29_5
020012906,308.0,15.0,323.0,1_29_6
020012907,270.0,58.0,328.0,1_29_7
020012908,157.0,103.0,260.0,1_29_8
020012909,312.0,64.0,376.0,1_29_9
020020101,13.0,8.0,21.0,2_1_1
020020102,97.0,36.0,133.0,2_1_2
020020201,241.0,11.0,252.0,2_2_1
020020202,361.0,1.0,362.0,2_2_2
020020203,227.0,2.0,229.0,2_2_3
020020204,205.0,0.0,205.0,2_2_4
020020205,259.0,0.0,259.0,2_2_5
020020206,197.0,0.0,197.0,2_2_6
020020207,141.0,0.0,141.0,2_2_7
020020208,279.0,3.0,282.0,2_2_8
020020301,396.0,3.0,399.0,2_3_1
020020302,406.0,5.0,411.0,2_3_2
020020303,100.0,0.0,100.0,2_3_3
020020304,187.0,1.0,188.0,2_3_4
020020305,290.0,3.0,293.0,2_3_5
020020306,256.0,18.0,274.0,2_3_6
020020307,351.0,2.0,353.0,2_3_7
020020308,232.0,2.0,234.0,2_3_8
020020401,312.0,1.0,313.0,2_4_1
020020402,105.0,4.0,109.0,2_4_2
020020403,71.0,78.0,149.0,2_4_3
020020404,194.0,1.0,195.0,2_4_4
020020405,283.0,1.0,284.0,2_4_5
020020406,210.0,2.0,212.0,2_4_6
020020407,234.0,1.0,235.0,2_4_7
020020408,422.0,5.0,427.0,2_4_8
020020409,330.0,3.0,333.0,2_4_9
020020410,428.0,2.0,430.0,2_4_10
020020501,255.0,1.0,256.0,2_5_1
020020502,309.0,10.0,319.0,2_5_2
020020503,255.0,0.0,255.0,2_5_3
020020504,226.0,0.0,226.0,2_5_4
020020505,323.0,1.0,324.0,2_5_5
020020506,327.0,1.0,328.0,2_5_6
020020507,312.0,17.0,329.0,2_5_7
020020508,324.0,4.0,328.0,2_5_8
020020509,270.0,1.0,271.0,2_5_9
020020601,175.0,0.0,175.0,2_6_1
020020602,567.0,5.0,572.0,2_6_2
020020603,225.0,1.0,226.0,2_6_3
020020604,328.0,5.0,333.0,2_6_4
020020605,183.0,0.0,183.0,2_6_5
020020606,292.0,28.0,320.0,2_6_6
020020607,175.0,0.0,175.0,2_6_7
020020608,194.0,25.0,219.0,2_6_8
020020609,270.0,6.0,276.0,2_6_9
020020610,227.0,1.0,228.0,2_6_10
020020701,572.0,1.0,573.0,2_7_1
020020702,489.0,4.0,493.0,2_7_2
020020703,354.0,7.0,361.0,2_7_3
020020704,265.0,2.0,267.0,2_7_4
020020705,243.0,1.0,244.0,2_7_5
020020706,270.0,1.0,271.0,2_7_6
020020707,406.0,3.0,409.0,2_7_7
020020708,169.0,3.0,172.0,2_7_8
020020709,278.0,0.0,278.0,2_7_9
020020801,345.0,2.0,347.0,2_8_1
020020802,304.0,2.0,306.0,2_8_2
020020803,454.0,3.0,457.0,2_8_3
020020804,477.0,1.0,478.0,2_8_4
020020805,411.0,2.0,413.0,2_8_5
020020806,620.0,5.0,625.0,2_8_6
020020807,684.0,23.0,707.0,2_8_7
020020808,355.0,2.0,357.0,2_8_8
020020901,396.0,3.0,399.0,2_9_1
020020902,217.0,1.0,218.0,2_9_2
020020903,451.0,0.0,451.0,2_9_3
020020904,461.0,0.0,461.0,2_9_4
020020905,485.0,3.0,488.0,2_9_5
020020906,439.0,2.0,441.0,2_9_6
020020907,472.0,0.0,472.0,2_9_7
020020908,645.0,4.0,649.0,2_9_8
020020909,540.0,10.0,550.0,2_9_9
020021001,514.0,5.0,519.0,2_10_1
020021002,364.0,2.0,366.0,2_10_2
020021003,208.0,1.0,209.0,2_10_3
020021004,343.0,1.0,344.0,2_10_4
020021005,420.0,6.0,426.0,2_10_5
020021006,318.0,3.0,321.0,2_10_6
020021007,481.0,2.0,483.0,2_10_7
020021008,440.0,3.0,443.0,2_10_8
020021009,296.0,3.0,299.0,2_10_9
020021101,618.0,3.0,621.0,2_11_1
020021102,240.0,1.0,241.0,2_11_2
020021103,655.0,17.0,672.0,2_11_3
020021104,630.0,38.0,668.0,2_11_4
020021105,169.0,0.0,169.0,2_11_5
020021106,304.0,1.0,305.0,2_11_6
020021201,434.0,1.0,435.0,2_12_1
020021202,400.0,2.0,402.0,2_12_2
020021203,456.0,1.0,457.0,2_12_3
020021204,699.0,5.0,704.0,2_12_4
020021205,595.0,20.0,615.0,2_12_5
020021206,496.0,2.0,498.0,2_12_6
020021301,595.0,0.0,595.0,2_13_1
020021302,414.0,4.0,418.0,2_13_2
020021303,514.0,2.0,516.0,2_13_3
020021304,554.0,1.0,555.0,2_13_4
020021305,643.0,4.0,647.0,2_13_5
020021306,377.0,5.0,382.0,2_13_6
020021307,627.0,7.0,634.0,2_13_7
