Código,Asiste,Asistió,Nunca asistió,Total
020020606,90.0,0.0,0.0,90.0
020020607,46.0,0.0,1.0,47.0
020020608,96.0,2.0,0.0,98.0
020020609,35.0,0.0,1.0,36.0
020020610,53.0,2.0,1.0,56.0
020020701,171.0,0.0,1.0,172.0
020020702,120.0,3.0,3.0,126.0
020020703,111.0,2.0,1.0,114.0
020020704,102.0,2.0,1.0,105.0
020020705,55.0,0.0,0.0,55.0
020020706,60.0,0.0,0.0,60.0
020020707,107.0,2.0,0.0,109.0
020020708,49.0,0.0,2.0,51.0
020020709,36.0,0.0,0.0,36.0
020020801,69.0,1.0,0.0,70.0
020020802,90.0,2.0,1.0,93.0
020020803,72.0,2.0,0.0,74.0
020020804,133.0,4.0,0.0,137.0
020020805,91.0,0.0,3.0,94.0
020020806,128.0,4.0,0.0,132.0
020020807,169.0,2.0,0.0,171.0
020020808,95.0,1.0,0.0,96.0
020020901,49.0,0.0,0.0,49.0
020020902,67.0,3.0,3.0,73.0
020020903,85.0,0.0,0.0,85.0
020020904,156.0,2.0,1.0,159.0
020020905,123.0,2.0,0.0,125.0
020020906,87.0,1.0,0.0,88.0
020020907,94.0,1.0,0.0,95.0
020020908,163.0,3.0,4.0,170.0
020020909,133.0,1.0,0.0,134.0
020021001,102.0,1.0,3.0,106.0
020021002,51.0,1.0,0.0,52.0
020021003,56.0,0.0,1.0,57.0
020021004,84.0,1.0,3.0,88.0
020021005,103.0,4.0,2.0,109.0
020021006,85.0,0.0,0.0,85.0
020021007,60.0,2.0,0.0,62.0
020021008,99.0,3.0,0.0,102.0
020021009,55.0,1.0,1.0,57.0
020021101,127.0,0.0,0.0,127.0
020021102,74.0,3.0,1.0,78.0
020021103,183.0,4.0,0.0,187.0
020021104,145.0,2.0,2.0,149.0
020021105,26.0,0.0,1.0,27.0
020021106,34.0,0.0,1.0,35.0
020021201,84.0,2.0,0.0,86.0
020021202,80.0,1.0,0.0,81.0
020021203,105.0,0.0,2.0,107.0
020021204,70.0,4.0,1.0,75.0
020021205,143.0,1.0,1.0,145.0
020021206,116.0,1.0,0.0,117.0
020021301,129.0,3.0,1.0,133.0
020021302,116.0,1.0,1.0,118.0
020021303,99.0,1.0,0.0,100.0
020021304,118.0,4.0,0.0,122.0
020021305,171.0,2.0,2.0,175.0
020021306,89.0,3.0,2.0,94.0
020021307,123.0,6.0,2.0,131.0
020021401,77.0,0.0,1.0,78.0
020021402,58.0,0.0,0.0,58.0
020021403,38.0,1.0,0.0,39.0
020021404,91.0,0.0,0.0,91.0
020021405,133.0,2.0,0.0,135.0
020021406,84.0,1.0,0.0,85.0
020021407,56.0,0.0,0.0,56.0
020021408,54.0,2.0,0.0,56.0
020021409,220.0,5.0,5.0,230.0
020021410,95.0,2.0,0.0,97.0
020021501,74.0,1.0,2.0,77.0
020021502,79.0,0.0,1.0,80.0
020021503,173.0,2.0,1.0,176.0
