Código,Sí,No,Total,CO_FRAC_RA
020031007,269.0,71.0,340.0,3_10_7
020031008,220.0,54.0,274.0,3_10_8
020031101,329.0,38.0,367.0,3_11_1
020031102,332.0,122.0,454.0,3_11_2
020031103,215.0,169.0,384.0,3_11_3
020031104,342.0,44.0,386.0,3_11_4
020031105,239.0,77.0,316.0,3_11_5
020031106,286.0,129.0,415.0,3_11_6
020031107,351.0,86.0,437.0,3_11_7
020031108,256.0,28.0,284.0,3_11_8
020031201,329.0,21.0,350.0,3_12_1
020031202,346.0,82.0,428.0,3_12_2
020031203,239.0,71.0,310.0,3_12_3
020031204,176.0,73.0,249.0,3_12_4
