Código,"Cerámica, baldosa, mosaico, mármol, madera o alfombrado",Cemento o ladrillo fijo,Tierra o ladrillo suelto,Otro,Total,CO_FRAC_RA
020012203,365.0,6.0,0.0,0.0,371.0,1_22_3
020012204,193.0,13.0,0.0,1.0,207.0,1_22_4
020012205,184.0,1.0,0.0,1.0,186.0,1_22_5
020012206,252.0,4.0,0.0,3.0,259.0,1_22_6
020012207,259.0,9.0,0.0,0.0,268.0,1_22_7
020012208,274.0,2.0,0.0,0.0,276.0,1_22_8
020012209,363.0,10.0,0.0,4.0,377.0,1_22_9
020012210,553.0,16.0,0.0,13.0,582.0,1_22_10
020012301,267.0,5.0,0.0,0.0,272.0,1_23_1
020012302,217.0,1.0,0.0,1.0,219.0,1_23_2
020012303,368.0,5.0,0.0,0.0,373.0,1_23_3
020012304,122.0,8.0,0.0,1.0,131.0,1_23_4
020012305,213.0,15.0,0.0,0.0,228.0,1_23_5
020012306,211.0,2.0,0.0,1.0,214.0,1_23_6
020012307,249.0,15.0,1.0,0.0,265.0,1_23_7
020012308,309.0,5.0,0.0,1.0,315.0,1_23_8
020012309,401.0,2.0,0.0,2.0,405.0,1_23_9
020012310,149.0,1.0,0.0,0.0,150.0,1_23_10
020012401,108.0,0.0,0.0,5.0,113.0,1_24_1
020012402,143.0,1.0,0.0,1.0,145.0,1_24_2
020012403,178.0,16.0,0.0,6.0,200.0,1_24_3
020012404,165.0,1.0,0.0,2.0,168.0,1_24_4
020012405,168.0,0.0,0.0,0.0,168.0,1_24_5
020012406,361.0,4.0,0.0,0.0,365.0,1_24_6
020012407,243.0,16.0,0.0,2.0,261.0,1_24_7
020012408,181.0,3.0,0.0,0.0,184.0,1_24_8
020012501,173.0,2.0,0.0,0.0,175.0,1_25_1
020012502,174.0,5.0,0.0,0.0,179.0,1_25_2
020012503,220.0,0.0,0.0,1.0,221.0,1_25_3
020012504,422.0,8.0,0.0,0.0,430.0,1_25_4
020012505,219.0,2.0,0.0,5.0,226.0,1_25_5
020012506,331.0,19.0,0.0,1.0,351.0,1_25_6
020012507,189.0,3.0,0.0,1.0,193.0,1_25_7
020012508,321.0,0.0,0.0,0.0,321.0,1_25_8
020012509,210.0,1.0,0.0,1.0,212.0,1_25_9
020012510,225.0,0.0,0.0,2.0,227.0,1_25_10
020012511,242.0,10.0,0.0,0.0,252.0,1_25_11
020012601,237.0,12.0,0.0,0.0,249.0,1_26_1
020012602,294.0,13.0,0.0,13.0,320.0,1_26_2
020012603,215.0,0.0,1.0,1.0,217.0,1_26_3
020012604,241.0,0.0,0.0,3.0,244.0,1_26_4
020012605,308.0,2.0,0.0,0.0,310.0,1_26_5
020012606,212.0,0.0,2.0,0.0,214.0,1_26_6
020012607,141.0,0.0,1.0,0.0,142.0,1_26_7
020012608,211.0,2.0,0.0,0.0,213.0,1_26_8
020012609,313.0,1.0,0.0,2.0,316.0,1_26_9
020012701,227.0,5.0,0.0,2.0,234.0,1_27_1
020012702,262.0,10.0,0.0,3.0,275.0,1_27_2
020012703,280.0,13.0,0.0,0.0,293.0,1_27_3
020012704,287.0,36.0,1.0,1.0,325.0,1_27_4
020012705,285.0,2.0,0.0,1.0,288.0,1_27_5
020012706,322.0,37.0,0.0,0.0,359.0,1_27_6
020012707,212.0,52.0,0.0,1.0,265.0,1_27_7
020012708,252.0,1.0,0.0,2.0,255.0,1_27_8
020012709,317.0,6.0,0.0,1.0,324.0,1_27_9
020012710,247.0,1.0,0.0,0.0,248.0,1_27_10
020012801,220.0,0.0,0.0,0.0,220.0,1_28_1
020012802,343.0,2.0,0.0,0.0,345.0,1_28_2
020012803,229.0,5.0,0.0,7.0,241.0,1_28_3
020012804,277.0,3.0,0.0,0.0,280.0,1_28_4
020012805,352.0,1.0,0.0,1.0,354.0,1_28_5
020012806,275.0,6.0,0.0,0.0,281.0,1_28_6
020012807,308.0,5.0,1.0,0.0,314.0,1_28_7
020012808,110.0,0.0,0.0,0.0,110.0,1_28_8
020012809,260.0,0.0,0.0,2.0,262.0,1_28_9
020012810,349.0,4.0,0.0,0.0,353.0,1_28_10
020012811,231.0,1.0,0.0,17.0,249.0,1_28_11
020012812,231.0,4.0,0.0,0.0,235.0,1_28_12
020012813,252.0,3.0,0.0,6.0,261.0,1_28_13
020012901,407.0,10.0,1.0,2.0,420.0,1_29_1
020012902,261.0,5.0,0.0,0.0,266.0,1_29_2
020012903,269.0,6.0,0.0,1.0,276.0,1_29_3
020012904,269.0,3.0,0.0,0.0,272.0,1_29_4
020012905,297.0,9.0,0.0,0.0,306.0,1_29_5
020012906,317.0,6.0,0.0,0.0,323.0,1_29_6
020012907,319.0,7.0,0.0,2.0,328.0,1_29_7
020012908,236.0,23.0,1.0,0.0,260.0,1_29_8
020012909,325.0,10.0,1.0,40.0,376.0,1_29_9
020020101,15.0,6.0,0.0,0.0,21.0,2_1_1
020020102,71.0,57.0,2.0,3.0,133.0,2_1_2
020020201,233.0,17.0,0.0,2.0,252.0,2_2_1
020020202,361.0,0.0,0.0,1.0,362.0,2_2_2
020020203,228.0,1.0,0.0,0.0,229.0,2_2_3
020020204,204.0,1.0,0.0,0.0,205.0,2_2_4
020020205,259.0,0.0,0.0,0.0,259.0,2_2_5
020020206,195.0,1.0,0.0,1.0,197.0,2_2_6
020020207,140.0,1.0,0.0,0.0,141.0,2_2_7
020020208,281.0,0.0,0.0,1.0,282.0,2_2_8
020020301,398.0,1.0,0.0,0.0,399.0,2_3_1
020020302,405.0,3.0,0.0,3.0,411.0,2_3_2
020020303,99.0,1.0,0.0,0.0,100.0,2_3_3
020020304,187.0,0.0,0.0,1.0,188.0,2_3_4
020020305,290.0,0.0,0.0,3.0,293.0,2_3_5
020020306,272.0,1.0,0.0,1.0,274.0,2_3_6
020020307,352.0,1.0,0.0,0.0,353.0,2_3_7
020020308,233.0,0.0,0.0,1.0,234.0,2_3_8
020020401,310.0,0.0,0.0,3.0,313.0,2_4_1
020020402,104.0,2.0,0.0,3.0,109.0,2_4_2
020020403,148.0,1.0,0.0,0.0,149.0,2_4_3
020020404,193.0,1.0,0.0,1.0,195.0,2_4_4
020020405,281.0,3.0,0.0,0.0,284.0,2_4_5
020020406,210.0,1.0,0.0,1.0,212.0,2_4_6
020020407,235.0,0.0,0.0,0.0,235.0,2_4_7
020020408,423.0,1.0,1.0,2.0,427.0,2_4_8
020020409,332.0,1.0,0.0,0.0,333.0,2_4_9
020020410,430.0,0.0,0.0,0.0,430.0,2_4_10
020020501,256.0,0.0,0.0,0.0,256.0,2_5_1
020020502,316.0,1.0,0.0,2.0,319.0,2_5_2
020020503,248.0,2.0,0.0,5.0,255.0,2_5_3
020020504,226.0,0.0,0.0,0.0,226.0,2_5_4
020020505,323.0,1.0,0.0,0.0,324.0,2_5_5
020020506,326.0,2.0,0.0,0.0,328.0,2_5_6
020020507,326.0,3.0,0.0,0.0,329.0,2_5_7
020020508,327.0,1.0,0.0,0.0,328.0,2_5_8
020020509,271.0,0.0,0.0,0.0,271.0,2_5_9
020020601,168.0,0.0,0.0,7.0,175.0,2_6_1
020020602,571.0,1.0,0.0,0.0,572.0,2_6_2
020020603,226.0,0.0,0.0,0.0,226.0,2_6_3
020020604,330.0,3.0,0.0,0.0,333.0,2_6_4
020020605,183.0,0.0,0.0,0.0,183.0,2_6_5
020020606,318.0,2.0,0.0,0.0,320.0,2_6_6
020020607,175.0,0.0,0.0,0.0,175.0,2_6_7
020020608,215.0,1.0,0.0,3.0,219.0,2_6_8
020020609,271.0,2.0,0.0,3.0,276.0,2_6_9
020020610,225.0,2.0,0.0,1.0,228.0,2_6_10
020020701,568.0,2.0,0.0,3.0,573.0,2_7_1
020020702,490.0,0.0,0.0,3.0,493.0,2_7_2
020020703,361.0,0.0,0.0,0.0,361.0,2_7_3
020020704,266.0,1.0,0.0,0.0,267.0,2_7_4
020020705,244.0,0.0,0.0,0.0,244.0,2_7_5
020020706,268.0,3.0,0.0,0.0,271.0,2_7_6
020020707,401.0,3.0,1.0,4.0,409.0,2_7_7
020020708,163.0,5.0,0.0,4.0,172.0,2_7_8
