Código,Argentina,Otro país,Total,CO_FRAC_RA
020022307,413.0,43.0,456.0,2_23_7
020022308,399.0,46.0,445.0,2_23_8
020022309,850.0,93.0,943.0,2_23_9
020022401,920.0,92.0,1012.0,2_24_1
020022402,730.0,57.0,787.0,2_24_2
020022403,728.0,67.0,795.0,2_24_3
020022404,965.0,85.0,1050.0,2_24_4
020022405,857.0,65.0,922.0,2_24_5
020022406,886.0,82.0,968.0,2_24_6
020022501,525.0,45.0,570.0,2_25_1
020022502,603.0,44.0,647.0,2_25_2
020022503,689.0,54.0,743.0,2_25_3
020022504,699.0,58.0,757.0,2_25_4
020022505,817.0,113.0,930.0,2_25_5
020022506,675.0,84.0,759.0,2_25_6
020022507,676.0,92.0,768.0,2_25_7
020022508,1119.0,103.0,1222.0,2_25_8
020022509,678.0,97.0,775.0,2_25_9
020022510,535.0,70.0,605.0,2_25_10
020022511,910.0,127.0,1037.0,2_25_11
020030101,814.0,212.0,1026.0,3_1_1
020030102,768.0,135.0,903.0,3_1_2
020030103,838.0,122.0,960.0,3_1_3
020030104,420.0,70.0,490.0,3_1_4
020030105,744.0,165.0,909.0,3_1_5
020030106,510.0,205.0,715.0,3_1_6
020030107,556.0,291.0,847.0,3_1_7
020030108,291.0,200.0,491.0,3_1_8
020030109,439.0,91.0,530.0,3_1_9
020030110,319.0,119.0,438.0,3_1_10
020030111,363.0,99.0,462.0,3_1_11
020030201,666.0,76.0,742.0,3_2_1
020030202,612.0,102.0,714.0,3_2_2
020030203,581.0,95.0,676.0,3_2_3
020030204,623.0,111.0,734.0,3_2_4
020030205,701.0,171.0,872.0,3_2_5
020030206,665.0,262.0,927.0,3_2_6
020030207,853.0,168.0,1021.0,3_2_7
020030208,713.0,153.0,866.0,3_2_8
020030209,673.0,163.0,836.0,3_2_9
020030210,348.0,79.0,427.0,3_2_10
020030211,515.0,87.0,602.0,3_2_11
020030212,654.0,191.0,845.0,3_2_12
020030301,977.0,124.0,1101.0,3_3_1
020030302,768.0,92.0,860.0,3_3_2
020030303,558.0,56.0,614.0,3_3_3
020030304,439.0,77.0,516.0,3_3_4
020030305,521.0,58.0,579.0,3_3_5
020030306,741.0,82.0,823.0,3_3_6
020030307,688.0,114.0,802.0,3_3_7
020030308,578.0,148.0,726.0,3_3_8
020030309,240.0,45.0,285.0,3_3_9
020030310,513.0,437.0,950.0,3_3_10
020030311,701.0,168.0,869.0,3_3_11
020030401,641.0,95.0,736.0,3_4_1
020030402,433.0,66.0,499.0,3_4_2
020030403,591.0,90.0,681.0,3_4_3
020030404,566.0,206.0,772.0,3_4_4
020030405,523.0,160.0,683.0,3_4_5
020030406,517.0,138.0,655.0,3_4_6
020030407,524.0,150.0,674.0,3_4_7
020030408,535.0,189.0,724.0,3_4_8
020030501,622.0,180.0,802.0,3_5_1
020030502,565.0,83.0,648.0,3_5_2
020030503,829.0,141.0,970.0,3_5_3
020030504,456.0,86.0,542.0,3_5_4
