Código,"Cerámica, baldosa, mosaico, mármol, madera o alfombrado",Cemento o ladrillo fijo,Tierra o ladrillo suelto,Otro,Total,CO_FRACC
0201214,3834.0,52.0,0.0,7.0,3893.0,012_14
0201215,4615.0,47.0,0.0,0.0,4662.0,012_15
0201216,5438.0,23.0,2.0,25.0,5488.0,012_16
0201217,3115.0,37.0,0.0,3.0,3155.0,012_17
0201218,3938.0,63.0,1.0,9.0,4011.0,012_18
0201219,4287.0,40.0,0.0,26.0,4353.0,012_19
0201220,3153.0,11.0,0.0,14.0,3178.0,012_20
0201221,3510.0,37.0,0.0,3.0,3550.0,012_21
0201222,4027.0,35.0,1.0,4.0,4067.0,012_22
0201301,4018.0,37.0,0.0,47.0,4102.0,013_1
0201302,3845.0,49.0,0.0,18.0,3912.0,013_2
0201303,3336.0,37.0,0.0,13.0,3386.0,013_3
0201304,4869.0,33.0,0.0,22.0,4924.0,013_4
0201305,3226.0,43.0,0.0,26.0,3295.0,013_5
0201306,3030.0,32.0,0.0,19.0,3081.0,013_6
0201307,3158.0,12.0,0.0,8.0,3178.0,013_7
0201308,3528.0,17.0,0.0,11.0,3556.0,013_8
0201309,3153.0,9.0,1.0,17.0,3180.0,013_9
0201310,4028.0,55.0,0.0,36.0,4119.0,013_10
0201311,1726.0,35.0,0.0,2.0,1763.0,013_11
0201312,2815.0,47.0,1.0,37.0,2900.0,013_12
0201313,4407.0,19.0,0.0,9.0,4435.0,013_13
0201314,2971.0,7.0,2.0,7.0,2987.0,013_14
0201315,4092.0,12.0,1.0,24.0,4129.0,013_15
0201316,4289.0,11.0,0.0,20.0,4320.0,013_16
0201317,3965.0,23.0,0.0,51.0,4039.0,013_17
0201318,3076.0,34.0,2.0,11.0,3123.0,013_18
0201319,3492.0,9.0,0.0,30.0,3531.0,013_19
0201320,3721.0,27.0,0.0,4.0,3752.0,013_20
0201321,3020.0,9.0,0.0,16.0,3045.0,013_21
0201322,2844.0,14.0,0.0,0.0,2858.0,013_22
0201323,4035.0,28.0,1.0,45.0,4109.0,013_23
0201324,2991.0,49.0,1.0,30.0,3071.0,013_24
0201325,2540.0,20.0,0.0,5.0,2565.0,013_25
0201326,3177.0,31.0,0.0,44.0,3252.0,013_26
0201327,3491.0,18.0,0.0,4.0,3513.0,013_27
0201328,2982.0,13.0,0.0,24.0,3019.0,013_28
0201329,3278.0,64.0,0.0,20.0,3362.0,013_29
0201401,3739.0,19.0,0.0,26.0,3784.0,014_1
0201402,3609.0,11.0,0.0,6.0,3626.0,014_2
0201403,4196.0,15.0,0.0,10.0,4221.0,014_3
0201404,3982.0,31.0,0.0,13.0,4026.0,014_4
0201405,3590.0,52.0,0.0,39.0,3681.0,014_5
0201406,3678.0,56.0,2.0,43.0,3779.0,014_6
0201407,2654.0,106.0,3.0,29.0,2792.0,014_7
0201408,3021.0,75.0,1.0,7.0,3104.0,014_8
0201409,4943.0,39.0,0.0,10.0,4992.0,014_9
0201410,6.0,0.0,0.0,0.0,6.0,014_10
0201411,4685.0,22.0,1.0,16.0,4724.0,014_11
0201412,3180.0,13.0,0.0,22.0,3215.0,014_12
0201413,3201.0,129.0,15.0,22.0,3367.0,014_13
0201414,3569.0,32.0,0.0,15.0,3616.0,014_14
0201415,3462.0,16.0,2.0,36.0,3516.0,014_15
0201416,2629.0,25.0,0.0,9.0,2663.0,014_16
0201417,2800.0,23.0,0.0,6.0,2829.0,014_17
0201418,3104.0,19.0,1.0,3.0,3127.0,014_18
0201419,2607.0,11.0,0.0,13.0,2631.0,014_19
0201420,2897.0,23.0,0.0,7.0,2927.0,014_20
0201421,2850.0,52.0,0.0,37.0,2939.0,014_21
0201422,3490.0,75.0,0.0,19.0,3584.0,014_22
0201423,3890.0,51.0,0.0,52.0,3993.0,014_23
0201424,2714.0,9.0,0.0,14.0,2737.0,014_24
0201425,2873.0,7.0,1.0,5.0,2886.0,014_25
0201426,3280.0,7.0,0.0,7.0,3294.0,014_26
0201427,2748.0,14.0,0.0,20.0,2782.0,014_27
0201428,3763.0,12.0,0.0,15.0,3790.0,014_28
0201429,3492.0,17.0,1.0,32.0,3542.0,014_29
0201430,3511.0,15.0,0.0,11.0,3537.0,014_30
0201431,3182.0,20.0,0.0,6.0,3208.0,014_31
0201501,3505.0,30.0,1.0,6.0,3542.0,015_1
0201502,2487.0,24.0,0.0,5.0,2516.0,015_2
0201503,4042.0,102.0,1.0,19.0,4164.0,015_3
0201504,3950.0,115.0,1.0,55.0,4121.0,015_4
0201505,3886.0,59.0,1.0,4.0,3950.0,015_5
0201506,1730.0,10.0,0.0,2.0,1742.0,015_6
0201507,3387.0,151.0,63.0,21.0,3622.0,015_7
0201508,3248.0,62.0,1.0,5.0,3316.0,015_8
0201509,1971.0,381.0,15.0,12.0,2379.0,015_9
0201510,4061.0,80.0,1.0,21.0,4163.0,015_10
0201511,4070.0,140.0,3.0,32.0,4245.0,015_11
0201512,2580.0,97.0,1.0,9.0,2687.0,015_12
0201513,2756.0,45.0,0.0,15.0,2816.0,015_13
0201514,3616.0,146.0,1.0,17.0,3780.0,015_14
0201515,3257.0,68.0,1.0,27.0,3353.0,015_15
0201516,3519.0,38.0,0.0,10.0,3567.0,015_16
0201517,3790.0,64.0,0.0,43.0,3897.0,015_17
0201518,3176.0,9.0,0.0,17.0,3202.0,015_18
0201519,3664.0,14.0,0.0,10.0,3688.0,015_19
0201520,3644.0,57.0,1.0,17.0,3719.0,015_20
0201521,3903.0,85.0,0.0,8.0,3996.0,015_21
