Código,Sí,No,Total,CO_FRAC_RA
020020802,306.0,0.0,306.0,2_8_2
020020803,454.0,3.0,457.0,2_8_3
020020804,478.0,0.0,478.0,2_8_4
020020805,412.0,1.0,413.0,2_8_5
020020806,619.0,6.0,625.0,2_8_6
020020807,685.0,22.0,707.0,2_8_7
020020808,357.0,0.0,357.0,2_8_8
020020901,398.0,1.0,399.0,2_9_1
020020902,217.0,1.0,218.0,2_9_2
020020903,448.0,3.0,451.0,2_9_3
020020904,460.0,1.0,461.0,2_9_4
020020905,488.0,0.0,488.0,2_9_5
020020906,441.0,0.0,441.0,2_9_6
020020907,469.0,3.0,472.0,2_9_7
020020908,647.0,2.0,649.0,2_9_8
020020909,545.0,5.0,550.0,2_9_9
020021001,514.0,5.0,519.0,2_10_1
020021002,364.0,2.0,366.0,2_10_2
020021003,209.0,0.0,209.0,2_10_3
020021004,343.0,1.0,344.0,2_10_4
020021005,420.0,6.0,426.0,2_10_5
020021006,320.0,1.0,321.0,2_10_6
020021007,480.0,3.0,483.0,2_10_7
020021008,443.0,0.0,443.0,2_10_8
020021009,297.0,2.0,299.0,2_10_9
020021101,621.0,0.0,621.0,2_11_1
020021102,241.0,0.0,241.0,2_11_2
020021103,672.0,0.0,672.0,2_11_3
020021104,665.0,3.0,668.0,2_11_4
020021105,168.0,1.0,169.0,2_11_5
020021106,303.0,2.0,305.0,2_11_6
020021201,434.0,1.0,435.0,2_12_1
020021202,399.0,3.0,402.0,2_12_2
020021203,455.0,2.0,457.0,2_12_3
020021204,701.0,3.0,704.0,2_12_4
020021205,612.0,3.0,615.0,2_12_5
020021206,496.0,2.0,498.0,2_12_6
020021301,595.0,0.0,595.0,2_13_1
020021302,418.0,0.0,418.0,2_13_2
020021303,514.0,2.0,516.0,2_13_3
020021304,553.0,2.0,555.0,2_13_4
020021305,643.0,4.0,647.0,2_13_5
020021306,382.0,0.0,382.0,2_13_6
020021307,630.0,4.0,634.0,2_13_7
020021401,248.0,0.0,248.0,2_14_1
020021402,304.0,2.0,306.0,2_14_2
020021403,175.0,0.0,175.0,2_14_3
020021404,368.0,1.0,369.0,2_14_4
020021405,499.0,0.0,499.0,2_14_5
020021406,530.0,2.0,532.0,2_14_6
020021407,335.0,13.0,348.0,2_14_7
020021408,380.0,0.0,380.0,2_14_8
020021409,590.0,15.0,605.0,2_14_9
020021410,530.0,7.0,537.0,2_14_10
020021501,264.0,2.0,266.0,2_15_1
020021502,384.0,4.0,388.0,2_15_2
020021503,625.0,5.0,630.0,2_15_3
020021504,309.0,1.0,310.0,2_15_4
020021505,265.0,2.0,267.0,2_15_5
020021506,286.0,0.0,286.0,2_15_6
020021507,367.0,0.0,367.0,2_15_7
020021508,339.0,0.0,339.0,2_15_8
020021601,320.0,1.0,321.0,2_16_1
020021602,297.0,11.0,308.0,2_16_2
020021603,303.0,2.0,305.0,2_16_3
020021604,283.0,1.0,284.0,2_16_4
020021605,383.0,3.0,386.0,2_16_5
020021606,317.0,1.0,318.0,2_16_6
020021607,358.0,1.0,359.0,2_16_7
020021608,195.0,1.0,196.0,2_16_8
020021701,567.0,4.0,571.0,2_17_1
020021702,382.0,0.0,382.0,2_17_2
020021703,453.0,1.0,454.0,2_17_3
020021704,167.0,1.0,168.0,2_17_4
020021705,290.0,0.0,290.0,2_17_5
020021706,448.0,4.0,452.0,2_17_6
020021707,574.0,3.0,577.0,2_17_7
020021708,461.0,28.0,489.0,2_17_8
020021709,366.0,0.0,366.0,2_17_9
020021801,449.0,9.0,458.0,2_18_1
020021802,548.0,0.0,548.0,2_18_2
020021803,397.0,0.0,397.0,2_18_3
020021804,266.0,1.0,267.0,2_18_4
020021805,250.0,0.0,250.0,2_18_5
020021806,352.0,15.0,367.0,2_18_6
020021807,276.0,1.0,277.0,2_18_7
020021808,305.0,30.0,335.0,2_18_8
020021901,391.0,2.0,393.0,2_19_1
020021902,304.0,2.0,306.0,2_19_2
020021903,304.0,1.0,305.0,2_19_3
020021904,491.0,8.0,499.0,2_19_4
020021905,360.0,1.0,361.0,2_19_5
020021906,422.0,2.0,424.0,2_19_6
020021907,320.0,4.0,324.0,2_19_7
020021908,373.0,4.0,377.0,2_19_8
020022001,456.0,1.0,457.0,2_20_1
020022002,435.0,14.0,449.0,2_20_2
020022003,367.0,5.0,372.0,2_20_3
020022004,383.0,3.0,386.0,2_20_4
020022005,250.0,1.0,251.0,2_20_5
020022006,340.0,16.0,356.0,2_20_6
020022007,247.0,0.0,247.0,2_20_7
020022008,300.0,1.0,301.0,2_20_8
020022101,453.0,9.0,462.0,2_21_1
020022102,441.0,1.0,442.0,2_21_2
020022103,366.0,3.0,369.0,2_21_3
020022104,530.0,0.0,530.0,2_21_4
020022105,506.0,2.0,508.0,2_21_5
020022106,480.0,1.0,481.0,2_21_6
020022201,365.0,3.0,368.0,2_22_1
020022202,280.0,1.0,281.0,2_22_2
020022203,205.0,0.0,205.0,2_22_3
020022204,482.0,1.0,483.0,2_22_4
020022205,525.0,3.0,528.0,2_22_5
020022206,556.0,1.0,557.0,2_22_6
020022301,434.0,1.0,435.0,2_23_1
020022302,510.0,2.0,512.0,2_23_2
020022303,441.0,0.0,441.0,2_23_3
020022304,372.0,9.0,381.0,2_23_4
020022305,295.0,0.0,295.0,2_23_5
020022306,203.0,0.0,203.0,2_23_6
020022307,237.0,0.0,237.0,2_23_7
020022308,187.0,0.0,187.0,2_23_8
020022309,460.0,3.0,463.0,2_23_9
020022401,450.0,0.0,450.0,2_24_1
020022402,377.0,0.0,377.0,2_24_2
020022403,334.0,1.0,335.0,2_24_3
020022404,461.0,3.0,464.0,2_24_4
020022405,505.0,1.0,506.0,2_24_5
020022406,468.0,0.0,468.0,2_24_6
020022501,311.0,1.0,312.0,2_25_1
020022502,348.0,1.0,349.0,2_25_2
020022503,170.0,7.0,177.0,2_25_3
020022504,427.0,0.0,427.0,2_25_4
020022505,466.0,3.0,469.0,2_25_5
020022506,317.0,38.0,355.0,2_25_6
020022507,384.0,2.0,386.0,2_25_7
020022508,521.0,2.0,523.0,2_25_8
020022509,411.0,0.0,411.0,2_25_9
020022510,299.0,0.0,299.0,2_25_10
020022511,486.0,15.0,501.0,2_25_11
020030101,475.0,13.0,488.0,3_1_1
020030102,416.0,3.0,419.0,3_1_2
020030103,435.0,32.0,467.0,3_1_3
020030104,246.0,2.0,248.0,3_1_4
020030105,369.0,5.0,374.0,3_1_5
020030106,255.0,7.0,262.0,3_1_6
020030107,287.0,60.0,347.0,3_1_7
020030108,162.0,26.0,188.0,3_1_8
020030109,225.0,2.0,227.0,3_1_9
020030110,170.0,22.0,192.0,3_1_10
020030111,225.0,5.0,230.0,3_1_11
020030201,322.0,1.0,323.0,3_2_1
020030202,325.0,8.0,333.0,3_2_2
020030203,336.0,0.0,336.0,3_2_3
020030204,286.0,2.0,288.0,3_2_4
020030205,365.0,4.0,369.0,3_2_5
020030206,357.0,10.0,367.0,3_2_6
020030207,409.0,11.0,420.0,3_2_7
020030208,351.0,3.0,354.0,3_2_8
020030209,310.0,1.0,311.0,3_2_9
020030210,192.0,1.0,193.0,3_2_10
020030211,243.0,14.0,257.0,3_2_11
020030212,350.0,15.0,365.0,3_2_12
020030301,476.0,0.0,476.0,3_3_1
020030302,362.0,11.0,373.0,3_3_2
020030303,258.0,2.0,260.0,3_3_3
020030304,208.0,5.0,213.0,3_3_4
020030305,245.0,0.0,245.0,3_3_5
020030306,299.0,3.0,302.0,3_3_6
020030307,293.0,15.0,308.0,3_3_7
020030308,263.0,0.0,263.0,3_3_8
020030309,148.0,11.0,159.0,3_3_9
020030310,345.0,48.0,393.0,3_3_10
020030311,305.0,0.0,305.0,3_3_11
020030401,353.0,1.0,354.0,3_4_1
020030402,212.0,4.0,216.0,3_4_2
020030403,279.0,0.0,279.0,3_4_3
020030404,306.0,20.0,326.0,3_4_4
020030405,262.0,26.0,288.0,3_4_5
020030406,303.0,5.0,308.0,3_4_6
020030407,269.0,1.0,270.0,3_4_7
