Código,Hasta   0.50 personas por cuarto,0.51  -  0.99  personas por cuarto,1.00  -  1.49  personas por cuarto,1.50  -  1.99  personas por cuarto,2.00  -  3.00  personas por cuarto,Más de  3.00 personas por cuarto,Total,CO_FRAC_RA
020011406,94.0,43.0,66.0,14.0,50.0,26.0,293.0,1_14_6
020011407,103.0,31.0,63.0,10.0,8.0,0.0,215.0,1_14_7
020011408,32.0,19.0,77.0,5.0,53.0,10.0,196.0,1_14_8
020011409,87.0,33.0,83.0,8.0,32.0,3.0,246.0,1_14_9
020011410,96.0,49.0,56.0,5.0,14.0,0.0,220.0,1_14_10
020011411,89.0,25.0,88.0,10.0,40.0,1.0,253.0,1_14_11
020011412,80.0,33.0,61.0,6.0,23.0,14.0,217.0,1_14_12
020011501,53.0,19.0,59.0,7.0,25.0,7.0,170.0,1_15_1
020011502,73.0,23.0,92.0,17.0,37.0,7.0,249.0,1_15_2
020011503,80.0,28.0,62.0,8.0,22.0,0.0,200.0,1_15_3
020011504,178.0,64.0,68.0,6.0,18.0,1.0,335.0,1_15_4
020011505,63.0,22.0,64.0,11.0,24.0,3.0,187.0,1_15_5
020011506,70.0,30.0,123.0,16.0,52.0,14.0,305.0,1_15_6
020011507,83.0,20.0,113.0,20.0,31.0,3.0,270.0,1_15_7
020011508,73.0,36.0,94.0,18.0,50.0,39.0,310.0,1_15_8
020011509,92.0,41.0,114.0,21.0,63.0,21.0,352.0,1_15_9
020011510,104.0,48.0,105.0,12.0,19.0,3.0,291.0,1_15_10
020011511,56.0,24.0,109.0,14.0,68.0,10.0,281.0,1_15_11
020011601,52.0,26.0,67.0,7.0,31.0,6.0,189.0,1_16_1
020011602,47.0,12.0,70.0,5.0,27.0,3.0,164.0,1_16_2
020011603,106.0,29.0,201.0,5.0,63.0,9.0,413.0,1_16_3
020011604,95.0,8.0,176.0,15.0,53.0,1.0,348.0,1_16_4
020011605,38.0,25.0,71.0,12.0,50.0,12.0,208.0,1_16_5
020011606,79.0,32.0,70.0,13.0,21.0,13.0,228.0,1_16_6
020011607,134.0,68.0,165.0,11.0,85.0,12.0,475.0,1_16_7
020011608,77.0,22.0,68.0,23.0,23.0,7.0,220.0,1_16_8
020011609,70.0,39.0,35.0,7.0,8.0,1.0,160.0,1_16_9
020011610,119.0,60.0,87.0,13.0,12.0,0.0,291.0,1_16_10
020011611,83.0,29.0,72.0,8.0,24.0,1.0,217.0,1_16_11
020011612,58.0,28.0,40.0,3.0,10.0,0.0,139.0,1_16_12
020011701,121.0,43.0,135.0,22.0,60.0,8.0,389.0,1_17_1
020011702,78.0,40.0,109.0,13.0,50.0,13.0,303.0,1_17_2
020011703,93.0,38.0,103.0,21.0,56.0,13.0,324.0,1_17_3
020011704,103.0,22.0,103.0,22.0,29.0,8.0,287.0,1_17_4
020011705,82.0,40.0,85.0,6.0,30.0,13.0,256.0,1_17_5
020011706,89.0,50.0,161.0,7.0,56.0,4.0,367.0,1_17_6
020011707,88.0,44.0,114.0,15.0,57.0,5.0,323.0,1_17_7
020011708,66.0,34.0,112.0,8.0,37.0,10.0,267.0,1_17_8
020011709,64.0,17.0,105.0,20.0,30.0,3.0,239.0,1_17_9
020011710,106.0,29.0,82.0,14.0,42.0,6.0,279.0,1_17_10
020011711,83.0,38.0,52.0,12.0,30.0,3.0,218.0,1_17_11
020011801,125.0,52.0,175.0,10.0,71.0,9.0,442.0,1_18_1
020011802,113.0,36.0,146.0,18.0,40.0,4.0,357.0,1_18_2
020011803,78.0,43.0,113.0,17.0,38.0,3.0,292.0,1_18_3
020011804,97.0,41.0,145.0,13.0,37.0,8.0,341.0,1_18_4
020011805,88.0,32.0,105.0,12.0,30.0,7.0,274.0,1_18_5
020011806,129.0,68.0,173.0,23.0,83.0,31.0,507.0,1_18_6
020011807,81.0,56.0,122.0,7.0,37.0,14.0,317.0,1_18_7
020011808,89.0,56.0,102.0,16.0,31.0,7.0,301.0,1_18_8
020011809,100.0,38.0,100.0,24.0,38.0,3.0,303.0,1_18_9
020011901,123.0,50.0,144.0,18.0,75.0,14.0,424.0,1_19_1
020011902,158.0,60.0,180.0,44.0,53.0,3.0,498.0,1_19_2
020011903,49.0,37.0,37.0,11.0,9.0,2.0,145.0,1_19_3
020011904,105.0,51.0,96.0,18.0,26.0,7.0,303.0,1_19_4
020011905,102.0,45.0,86.0,12.0,20.0,6.0,271.0,1_19_5
020011906,44.0,18.0,92.0,3.0,53.0,6.0,216.0,1_19_6
