Código,Sí,No,Total,CO_FRAC_RA
020022106,385.0,96.0,481.0,2_21_6
020022201,299.0,69.0,368.0,2_22_1
020022202,220.0,61.0,281.0,2_22_2
020022203,173.0,32.0,205.0,2_22_3
020022204,381.0,102.0,483.0,2_22_4
020022205,447.0,81.0,528.0,2_22_5
020022206,452.0,105.0,557.0,2_22_6
020022301,346.0,89.0,435.0,2_23_1
020022302,399.0,113.0,512.0,2_23_2
020022303,364.0,77.0,441.0,2_23_3
020022304,293.0,88.0,381.0,2_23_4
020022305,247.0,48.0,295.0,2_23_5
020022306,161.0,42.0,203.0,2_23_6
020022307,177.0,60.0,237.0,2_23_7
020022308,143.0,44.0,187.0,2_23_8
020022309,385.0,78.0,463.0,2_23_9
020022401,363.0,87.0,450.0,2_24_1
020022402,278.0,99.0,377.0,2_24_2
020022403,277.0,58.0,335.0,2_24_3
020022404,356.0,108.0,464.0,2_24_4
020022405,402.0,104.0,506.0,2_24_5
020022406,366.0,102.0,468.0,2_24_6
020022501,263.0,49.0,312.0,2_25_1
020022502,277.0,72.0,349.0,2_25_2
020022503,124.0,53.0,177.0,2_25_3
020022504,335.0,92.0,427.0,2_25_4
020022505,364.0,105.0,469.0,2_25_5
020022506,220.0,135.0,355.0,2_25_6
020022507,307.0,79.0,386.0,2_25_7
020022508,460.0,63.0,523.0,2_25_8
020022509,340.0,71.0,411.0,2_25_9
020022510,226.0,73.0,299.0,2_25_10
020022511,370.0,131.0,501.0,2_25_11
020030101,347.0,141.0,488.0,3_1_1
020030102,310.0,109.0,419.0,3_1_2
020030103,348.0,119.0,467.0,3_1_3
020030104,166.0,82.0,248.0,3_1_4
020030105,237.0,137.0,374.0,3_1_5
020030106,158.0,104.0,262.0,3_1_6
020030107,136.0,211.0,347.0,3_1_7
020030108,78.0,110.0,188.0,3_1_8
020030109,154.0,73.0,227.0,3_1_9
020030110,90.0,102.0,192.0,3_1_10
020030111,137.0,93.0,230.0,3_1_11
020030201,246.0,77.0,323.0,3_2_1
020030202,234.0,99.0,333.0,3_2_2
020030203,219.0,117.0,336.0,3_2_3
020030204,216.0,72.0,288.0,3_2_4
020030205,238.0,131.0,369.0,3_2_5
020030206,227.0,140.0,367.0,3_2_6
020030207,255.0,165.0,420.0,3_2_7
020030208,231.0,123.0,354.0,3_2_8
020030209,212.0,99.0,311.0,3_2_9
020030210,127.0,66.0,193.0,3_2_10
020030211,171.0,86.0,257.0,3_2_11
020030212,242.0,123.0,365.0,3_2_12
020030301,343.0,133.0,476.0,3_3_1
020030302,257.0,116.0,373.0,3_3_2
020030303,188.0,72.0,260.0,3_3_3
020030304,154.0,59.0,213.0,3_3_4
020030305,179.0,66.0,245.0,3_3_5
020030306,218.0,84.0,302.0,3_3_6
020030307,199.0,109.0,308.0,3_3_7
020030308,190.0,73.0,263.0,3_3_8
020030309,116.0,43.0,159.0,3_3_9
020030310,189.0,204.0,393.0,3_3_10
020030311,183.0,122.0,305.0,3_3_11
020030401,272.0,82.0,354.0,3_4_1
020030402,147.0,69.0,216.0,3_4_2
020030403,219.0,60.0,279.0,3_4_3
020030404,228.0,98.0,326.0,3_4_4
020030405,176.0,112.0,288.0,3_4_5
020030406,216.0,92.0,308.0,3_4_6
020030407,202.0,68.0,270.0,3_4_7
020030408,182.0,89.0,271.0,3_4_8
020030501,265.0,108.0,373.0,3_5_1
020030502,230.0,61.0,291.0,3_5_2
020030503,357.0,112.0,469.0,3_5_3
020030504,178.0,84.0,262.0,3_5_4
020030505,258.0,72.0,330.0,3_5_5
020030506,180.0,35.0,215.0,3_5_6
020030507,293.0,75.0,368.0,3_5_7
020030601,248.0,106.0,354.0,3_6_1
020030602,121.0,54.0,175.0,3_6_2
020030603,242.0,70.0,312.0,3_6_3
020030604,245.0,75.0,320.0,3_6_4
020030605,212.0,117.0,329.0,3_6_5
020030606,186.0,69.0,255.0,3_6_6
020030607,234.0,78.0,312.0,3_6_7
020030701,95.0,41.0,136.0,3_7_1
020030702,298.0,117.0,415.0,3_7_2
020030703,315.0,138.0,453.0,3_7_3
020030704,279.0,90.0,369.0,3_7_4
020030705,195.0,73.0,268.0,3_7_5
020030706,197.0,86.0,283.0,3_7_6
020030707,341.0,163.0,504.0,3_7_7
020030708,109.0,50.0,159.0,3_7_8
020030709,261.0,143.0,404.0,3_7_9
020030801,224.0,97.0,321.0,3_8_1
020030802,155.0,57.0,212.0,3_8_2
020030803,252.0,89.0,341.0,3_8_3
020030804,176.0,41.0,217.0,3_8_4
020030805,152.0,64.0,216.0,3_8_5
020030806,142.0,61.0,203.0,3_8_6
020030807,115.0,51.0,166.0,3_8_7
020030808,133.0,74.0,207.0,3_8_8
020030809,206.0,98.0,304.0,3_8_9
020030810,161.0,95.0,256.0,3_8_10
020030901,253.0,135.0,388.0,3_9_1
020030902,157.0,49.0,206.0,3_9_2
020030903,232.0,110.0,342.0,3_9_3
020030904,281.0,133.0,414.0,3_9_4
020030905,140.0,82.0,222.0,3_9_5
020030906,126.0,70.0,196.0,3_9_6
