Código,Hogares sin NBI,Hogares con NBI,Total,CO_FRACC
0201501,3491.0,51.0,3542.0,015_1
0201502,2504.0,12.0,2516.0,015_2
0201503,4052.0,112.0,4164.0,015_3
0201504,3942.0,179.0,4121.0,015_4
0201505,3877.0,73.0,3950.0,015_5
0201506,1723.0,19.0,1742.0,015_6
0201507,3265.0,357.0,3622.0,015_7
0201508,3123.0,193.0,3316.0,015_8
0201509,2103.0,276.0,2379.0,015_9
0201510,3899.0,264.0,4163.0,015_10
0201511,4000.0,245.0,4245.0,015_11
0201512,2521.0,166.0,2687.0,015_12
0201513,2717.0,99.0,2816.0,015_13
0201514,3612.0,168.0,3780.0,015_14
0201515,3151.0,202.0,3353.0,015_15
0201516,3414.0,153.0,3567.0,015_16
0201517,3751.0,146.0,3897.0,015_17
0201518,3111.0,91.0,3202.0,015_18
0201519,3649.0,39.0,3688.0,015_19
0201520,3643.0,76.0,3719.0,015_20
0201521,3812.0,184.0,3996.0,015_21
