Código,Sí,No,Total,CO_FRAC_RA
020021902,279.0,27.0,306.0,2_19_2
020021903,276.0,29.0,305.0,2_19_3
020021904,442.0,57.0,499.0,2_19_4
020021905,310.0,51.0,361.0,2_19_5
020021906,384.0,40.0,424.0,2_19_6
020021907,287.0,37.0,324.0,2_19_7
020021908,337.0,40.0,377.0,2_19_8
020022001,412.0,45.0,457.0,2_20_1
020022002,404.0,45.0,449.0,2_20_2
020022003,335.0,37.0,372.0,2_20_3
020022004,352.0,34.0,386.0,2_20_4
020022005,225.0,26.0,251.0,2_20_5
020022006,325.0,31.0,356.0,2_20_6
020022007,219.0,28.0,247.0,2_20_7
020022008,280.0,21.0,301.0,2_20_8
020022101,419.0,43.0,462.0,2_21_1
020022102,391.0,51.0,442.0,2_21_2
020022103,322.0,47.0,369.0,2_21_3
020022104,484.0,46.0,530.0,2_21_4
020022105,469.0,39.0,508.0,2_21_5
020022106,434.0,47.0,481.0,2_21_6
020022201,332.0,36.0,368.0,2_22_1
020022202,236.0,45.0,281.0,2_22_2
020022203,196.0,9.0,205.0,2_22_3
020022204,434.0,49.0,483.0,2_22_4
020022205,486.0,42.0,528.0,2_22_5
020022206,500.0,57.0,557.0,2_22_6
020022301,388.0,47.0,435.0,2_23_1
020022302,469.0,43.0,512.0,2_23_2
020022303,394.0,47.0,441.0,2_23_3
020022304,345.0,36.0,381.0,2_23_4
020022305,272.0,23.0,295.0,2_23_5
020022306,182.0,21.0,203.0,2_23_6
020022307,201.0,36.0,237.0,2_23_7
020022308,165.0,22.0,187.0,2_23_8
020022309,413.0,50.0,463.0,2_23_9
020022401,410.0,40.0,450.0,2_24_1
020022402,325.0,52.0,377.0,2_24_2
020022403,304.0,31.0,335.0,2_24_3
020022404,403.0,61.0,464.0,2_24_4
020022405,459.0,47.0,506.0,2_24_5
020022406,406.0,62.0,468.0,2_24_6
020022501,284.0,28.0,312.0,2_25_1
020022502,311.0,38.0,349.0,2_25_2
020022503,152.0,25.0,177.0,2_25_3
020022504,372.0,55.0,427.0,2_25_4
020022505,410.0,59.0,469.0,2_25_5
020022506,313.0,42.0,355.0,2_25_6
020022507,343.0,43.0,386.0,2_25_7
020022508,486.0,37.0,523.0,2_25_8
020022509,370.0,41.0,411.0,2_25_9
020022510,267.0,32.0,299.0,2_25_10
020022511,438.0,63.0,501.0,2_25_11
020030101,440.0,48.0,488.0,3_1_1
020030102,360.0,59.0,419.0,3_1_2
020030103,415.0,52.0,467.0,3_1_3
020030104,217.0,31.0,248.0,3_1_4
020030105,322.0,52.0,374.0,3_1_5
020030106,228.0,34.0,262.0,3_1_6
020030107,290.0,57.0,347.0,3_1_7
020030108,171.0,17.0,188.0,3_1_8
020030109,184.0,43.0,227.0,3_1_9
020030110,170.0,22.0,192.0,3_1_10
020030111,193.0,37.0,230.0,3_1_11
020030201,286.0,37.0,323.0,3_2_1
020030202,295.0,38.0,333.0,3_2_2
020030203,271.0,65.0,336.0,3_2_3
020030204,253.0,35.0,288.0,3_2_4
020030205,302.0,67.0,369.0,3_2_5
020030206,318.0,49.0,367.0,3_2_6
020030207,356.0,64.0,420.0,3_2_7
020030208,305.0,49.0,354.0,3_2_8
020030209,274.0,37.0,311.0,3_2_9
020030210,165.0,28.0,193.0,3_2_10
020030211,223.0,34.0,257.0,3_2_11
020030212,317.0,48.0,365.0,3_2_12
020030301,399.0,77.0,476.0,3_3_1
020030302,335.0,38.0,373.0,3_3_2
020030303,229.0,31.0,260.0,3_3_3
020030304,188.0,25.0,213.0,3_3_4
020030305,193.0,52.0,245.0,3_3_5
020030306,259.0,43.0,302.0,3_3_6
020030307,265.0,43.0,308.0,3_3_7
020030308,217.0,46.0,263.0,3_3_8
020030309,137.0,22.0,159.0,3_3_9
020030310,332.0,61.0,393.0,3_3_10
020030311,257.0,48.0,305.0,3_3_11
020030401,310.0,44.0,354.0,3_4_1
