Código,0,1,Total,CO_FRAC_RA
020020504,102.0,124.0,226.0,2_5_4
020020505,143.0,181.0,324.0,2_5_5
020020506,123.0,205.0,328.0,2_5_6
020020507,120.0,208.0,328.0,2_5_7
020020508,124.0,202.0,326.0,2_5_8
020020509,119.0,148.0,267.0,2_5_9
020020601,64.0,110.0,174.0,2_6_1
020020602,226.0,345.0,571.0,2_6_2
020020603,75.0,150.0,225.0,2_6_3
020020604,131.0,202.0,333.0,2_6_4
020020605,91.0,91.0,182.0,2_6_5
020020606,143.0,173.0,316.0,2_6_6
020020607,55.0,120.0,175.0,2_6_7
020020608,102.0,113.0,215.0,2_6_8
020020609,108.0,167.0,275.0,2_6_9
020020610,98.0,131.0,229.0,2_6_10
020020701,229.0,344.0,573.0,2_7_1
020020702,180.0,311.0,491.0,2_7_2
020020703,148.0,213.0,361.0,2_7_3
020020704,96.0,170.0,266.0,2_7_4
020020705,95.0,147.0,242.0,2_7_5
020020706,108.0,163.0,271.0,2_7_6
020020707,139.0,268.0,407.0,2_7_7
020020708,84.0,88.0,172.0,2_7_8
020020709,126.0,153.0,279.0,2_7_9
020020801,127.0,218.0,345.0,2_8_1
020020802,116.0,190.0,306.0,2_8_2
020020803,188.0,269.0,457.0,2_8_3
020020804,200.0,278.0,478.0,2_8_4
020020805,170.0,243.0,413.0,2_8_5
020020806,250.0,373.0,623.0,2_8_6
020020807,267.0,437.0,704.0,2_8_7
020020808,131.0,223.0,354.0,2_8_8
020020901,129.0,268.0,397.0,2_9_1
020020902,76.0,142.0,218.0,2_9_2
020020903,161.0,290.0,451.0,2_9_3
020020904,154.0,306.0,460.0,2_9_4
020020905,188.0,297.0,485.0,2_9_5
020020906,158.0,280.0,438.0,2_9_6
020020907,162.0,308.0,470.0,2_9_7
020020908,232.0,414.0,646.0,2_9_8
020020909,218.0,331.0,549.0,2_9_9
020021001,195.0,324.0,519.0,2_10_1
020021002,134.0,231.0,365.0,2_10_2
020021003,70.0,139.0,209.0,2_10_3
020021004,116.0,227.0,343.0,2_10_4
020021005,173.0,253.0,426.0,2_10_5
020021006,109.0,212.0,321.0,2_10_6
020021007,184.0,299.0,483.0,2_10_7
020021008,180.0,263.0,443.0,2_10_8
020021009,124.0,174.0,298.0,2_10_9
020021101,228.0,391.0,619.0,2_11_1
020021102,98.0,143.0,241.0,2_11_2
020021103,225.0,445.0,670.0,2_11_3
020021104,261.0,407.0,668.0,2_11_4
020021105,74.0,95.0,169.0,2_11_5
020021106,109.0,196.0,305.0,2_11_6
020021201,164.0,268.0,432.0,2_12_1
020021202,157.0,244.0,401.0,2_12_2
020021203,162.0,294.0,456.0,2_12_3
020021204,243.0,459.0,702.0,2_12_4
020021205,224.0,391.0,615.0,2_12_5
020021206,180.0,315.0,495.0,2_12_6
020021301,180.0,413.0,593.0,2_13_1
020021302,186.0,230.0,416.0,2_13_2
020021303,168.0,343.0,511.0,2_13_3
020021304,186.0,367.0,553.0,2_13_4
020021305,250.0,397.0,647.0,2_13_5
020021306,144.0,237.0,381.0,2_13_6
020021307,243.0,389.0,632.0,2_13_7
020021401,97.0,150.0,247.0,2_14_1
020021402,113.0,191.0,304.0,2_14_2
020021403,72.0,103.0,175.0,2_14_3
020021404,134.0,234.0,368.0,2_14_4
020021405,175.0,322.0,497.0,2_14_5
020021406,192.0,338.0,530.0,2_14_6
020021407,139.0,208.0,347.0,2_14_7
020021408,135.0,245.0,380.0,2_14_8
020021409,242.0,362.0,604.0,2_14_9
020021410,206.0,331.0,537.0,2_14_10
020021501,93.0,172.0,265.0,2_15_1
020021502,146.0,242.0,388.0,2_15_2
020021503,176.0,453.0,629.0,2_15_3
020021504,100.0,210.0,310.0,2_15_4
020021505,98.0,168.0,266.0,2_15_5
020021506,105.0,180.0,285.0,2_15_6
020021507,145.0,219.0,364.0,2_15_7
020021508,113.0,226.0,339.0,2_15_8
020021601,128.0,192.0,320.0,2_16_1
020021602,120.0,188.0,308.0,2_16_2
020021603,107.0,197.0,304.0,2_16_3
020021604,112.0,171.0,283.0,2_16_4
020021605,145.0,241.0,386.0,2_16_5
020021606,123.0,194.0,317.0,2_16_6
020021607,143.0,215.0,358.0,2_16_7
020021608,68.0,127.0,195.0,2_16_8
020021701,240.0,329.0,569.0,2_17_1
020021702,150.0,232.0,382.0,2_17_2
020021703,182.0,269.0,451.0,2_17_3
020021704,70.0,97.0,167.0,2_17_4
020021705,91.0,198.0,289.0,2_17_5
020021706,165.0,286.0,451.0,2_17_6
020021707,262.0,313.0,575.0,2_17_7
020021708,203.0,283.0,486.0,2_17_8
020021709,153.0,213.0,366.0,2_17_9
020021801,187.0,272.0,459.0,2_18_1
020021802,210.0,336.0,546.0,2_18_2
020021803,145.0,251.0,396.0,2_18_3
020021804,105.0,165.0,270.0,2_18_4
020021805,105.0,142.0,247.0,2_18_5
020021806,161.0,206.0,367.0,2_18_6
020021807,117.0,160.0,277.0,2_18_7
020021808,159.0,176.0,335.0,2_18_8
020021901,164.0,227.0,391.0,2_19_1
020021902,134.0,171.0,305.0,2_19_2
020021903,134.0,170.0,304.0,2_19_3
020021904,237.0,262.0,499.0,2_19_4
020021905,155.0,204.0,359.0,2_19_5
020021906,177.0,248.0,425.0,2_19_6
020021907,146.0,175.0,321.0,2_19_7
020021908,184.0,193.0,377.0,2_19_8
020022001,194.0,262.0,456.0,2_20_1
020022002,205.0,243.0,448.0,2_20_2
020022003,160.0,211.0,371.0,2_20_3
020022004,190.0,196.0,386.0,2_20_4
020022005,110.0,140.0,250.0,2_20_5
020022006,178.0,178.0,356.0,2_20_6
020022007,95.0,151.0,246.0,2_20_7
020022008,120.0,179.0,299.0,2_20_8
020022101,165.0,297.0,462.0,2_21_1
020022102,171.0,270.0,441.0,2_21_2
020022103,148.0,220.0,368.0,2_21_3
020022104,216.0,313.0,529.0,2_21_4
020022105,195.0,311.0,506.0,2_21_5
020022106,196.0,284.0,480.0,2_21_6
020022201,144.0,223.0,367.0,2_22_1
020022202,117.0,164.0,281.0,2_22_2
020022203,54.0,151.0,205.0,2_22_3
020022204,177.0,305.0,482.0,2_22_4
020022205,170.0,355.0,525.0,2_22_5
020022206,181.0,374.0,555.0,2_22_6
020022301,184.0,250.0,434.0,2_23_1
020022302,187.0,323.0,510.0,2_23_2
020022303,167.0,273.0,440.0,2_23_3
020022304,157.0,223.0,380.0,2_23_4
020022305,126.0,167.0,293.0,2_23_5
020022306,81.0,122.0,203.0,2_23_6
020022307,96.0,141.0,237.0,2_23_7
020022308,75.0,112.0,187.0,2_23_8
020022309,172.0,290.0,462.0,2_23_9
020022401,189.0,261.0,450.0,2_24_1
020022402,155.0,222.0,377.0,2_24_2
020022403,118.0,217.0,335.0,2_24_3
020022404,186.0,276.0,462.0,2_24_4
020022405,222.0,282.0,504.0,2_24_5
020022406,195.0,268.0,463.0,2_24_6
020022501,108.0,203.0,311.0,2_25_1
020022502,141.0,207.0,348.0,2_25_2
020022503,75.0,101.0,176.0,2_25_3
020022504,174.0,251.0,425.0,2_25_4
020022505,207.0,262.0,469.0,2_25_5
020022506,199.0,155.0,354.0,2_25_6
020022507,171.0,213.0,384.0,2_25_7
020022508,199.0,321.0,520.0,2_25_8
020022509,165.0,244.0,409.0,2_25_9
020022510,122.0,175.0,297.0,2_25_10
020022511,261.0,237.0,498.0,2_25_11
020030101,283.0,204.0,487.0,3_1_1
020030102,217.0,201.0,418.0,3_1_2
020030103,220.0,245.0,465.0,3_1_3
020030104,142.0,106.0,248.0,3_1_4
020030105,263.0,109.0,372.0,3_1_5
020030106,201.0,55.0,256.0,3_1_6
020030107,299.0,46.0,345.0,3_1_7
020030108,143.0,39.0,182.0,3_1_8
020030109,161.0,68.0,229.0,3_1_9
020030110,141.0,50.0,191.0,3_1_10
020030111,154.0,76.0,230.0,3_1_11
020030201,181.0,137.0,318.0,3_2_1
020030202,159.0,172.0,331.0,3_2_2
020030203,206.0,128.0,334.0,3_2_3
020030204,171.0,115.0,286.0,3_2_4
020030205,262.0,104.0,366.0,3_2_5
020030206,267.0,100.0,367.0,3_2_6
020030207,286.0,133.0,419.0,3_2_7
020030208,235.0,116.0,351.0,3_2_8
020030209,209.0,102.0,311.0,3_2_9
020030210,112.0,79.0,191.0,3_2_10
020030211,153.0,104.0,257.0,3_2_11
020030212,235.0,126.0,361.0,3_2_12
020030301,246.0,226.0,472.0,3_3_1
020030302,186.0,186.0,372.0,3_3_2
020030303,133.0,127.0,260.0,3_3_3
020030304,113.0,98.0,211.0,3_3_4
020030305,123.0,118.0,241.0,3_3_5
020030306,183.0,119.0,302.0,3_3_6
020030307,192.0,112.0,304.0,3_3_7
020030308,154.0,108.0,262.0,3_3_8
020030309,104.0,55.0,159.0,3_3_9
020030310,293.0,95.0,388.0,3_3_10
020030311,281.0,24.0,305.0,3_3_11
020030401,164.0,189.0,353.0,3_4_1
020030402,128.0,85.0,213.0,3_4_2
020030403,145.0,132.0,277.0,3_4_3
020030404,211.0,115.0,326.0,3_4_4
020030405,196.0,90.0,286.0,3_4_5
020030406,156.0,149.0,305.0,3_4_6
020030407,159.0,111.0,270.0,3_4_7
020030408,178.0,90.0,268.0,3_4_8
020030501,187.0,183.0,370.0,3_5_1
020030502,146.0,144.0,290.0,3_5_2
020030503,225.0,244.0,469.0,3_5_3
020030504,145.0,116.0,261.0,3_5_4
020030505,137.0,191.0,328.0,3_5_5
020030506,90.0,125.0,215.0,3_5_6
020030507,153.0,214.0,367.0,3_5_7
020030601,184.0,168.0,352.0,3_6_1
020030602,91.0,81.0,172.0,3_6_2
020030603,128.0,182.0,310.0,3_6_3
020030604,162.0,156.0,318.0,3_6_4
020030605,200.0,127.0,327.0,3_6_5
020030606,137.0,115.0,252.0,3_6_6
020030607,168.0,142.0,310.0,3_6_7
020030701,89.0,46.0,135.0,3_7_1
020030702,229.0,185.0,414.0,3_7_2
020030703,261.0,190.0,451.0,3_7_3
020030704,188.0,177.0,365.0,3_7_4
020030705,139.0,129.0,268.0,3_7_5
020030706,153.0,128.0,281.0,3_7_6
020030707,285.0,217.0,502.0,3_7_7
020030708,92.0,67.0,159.0,3_7_8
020030709,261.0,140.0,401.0,3_7_9
020030801,189.0,132.0,321.0,3_8_1
020030802,125.0,86.0,211.0,3_8_2
020030803,212.0,127.0,339.0,3_8_3
020030804,131.0,84.0,215.0,3_8_4
020030805,139.0,73.0,212.0,3_8_5
020030806,122.0,78.0,200.0,3_8_6
020030807,102.0,62.0,164.0,3_8_7
020030808,142.0,65.0,207.0,3_8_8
020030809,202.0,101.0,303.0,3_8_9
020030810,180.0,76.0,256.0,3_8_10
020030901,263.0,124.0,387.0,3_9_1
020030902,129.0,76.0,205.0,3_9_2
020030903,209.0,132.0,341.0,3_9_3
020030904,293.0,120.0,413.0,3_9_4
020030905,169.0,50.0,219.0,3_9_5
020030906,136.0,60.0,196.0,3_9_6
020030907,231.0,60.0,291.0,3_9_7
020030908,233.0,75.0,308.0,3_9_8
020030909,228.0,140.0,368.0,3_9_9
020030910,222.0,103.0,325.0,3_9_10
020031001,265.0,112.0,377.0,3_10_1
020031002,218.0,100.0,318.0,3_10_2
020031003,181.0,75.0,256.0,3_10_3
020031004,166.0,130.0,296.0,3_10_4
020031005,128.0,73.0,201.0,3_10_5
020031006,268.0,118.0,386.0,3_10_6
020031007,228.0,105.0,333.0,3_10_7
020031008,198.0,74.0,272.0,3_10_8
020031101,209.0,154.0,363.0,3_11_1
020031102,316.0,137.0,453.0,3_11_2
020031103,274.0,109.0,383.0,3_11_3
020031104,207.0,178.0,385.0,3_11_4
020031105,196.0,119.0,315.0,3_11_5
020031106,251.0,161.0,412.0,3_11_6
020031107,253.0,182.0,435.0,3_11_7
020031108,165.0,119.0,284.0,3_11_8
020031201,211.0,129.0,340.0,3_12_1
020031202,245.0,182.0,427.0,3_12_2
020031203,193.0,117.0,310.0,3_12_3
020031204,145.0,95.0,240.0,3_12_4
