Código,A red pública (cloaca),A cámara séptica y pozo ciego,Sólo a pozo ciego,"A hoyo, excavación en la tierra, etc.",Total,CO_FRAC_RA
020011706,366.0,0.0,0.0,0.0,366.0,1_17_6
020011707,321.0,0.0,0.0,0.0,321.0,1_17_7
020011708,267.0,0.0,0.0,0.0,267.0,1_17_8
020011709,235.0,2.0,0.0,0.0,237.0,1_17_9
020011710,279.0,0.0,0.0,0.0,279.0,1_17_10
020011711,218.0,0.0,0.0,0.0,218.0,1_17_11
020011801,442.0,0.0,0.0,0.0,442.0,1_18_1
020011802,355.0,2.0,0.0,0.0,357.0,1_18_2
020011803,288.0,3.0,0.0,0.0,291.0,1_18_3
020011804,336.0,0.0,0.0,0.0,336.0,1_18_4
020011805,274.0,0.0,0.0,0.0,274.0,1_18_5
020011806,484.0,2.0,2.0,0.0,488.0,1_18_6
020011807,309.0,0.0,0.0,0.0,309.0,1_18_7
020011808,296.0,2.0,0.0,0.0,298.0,1_18_8
020011809,286.0,0.0,0.0,0.0,286.0,1_18_9
020011901,395.0,4.0,0.0,0.0,399.0,1_19_1
020011902,498.0,0.0,0.0,0.0,498.0,1_19_2
020011903,145.0,0.0,0.0,0.0,145.0,1_19_3
020011904,302.0,1.0,0.0,0.0,303.0,1_19_4
020011905,270.0,0.0,1.0,0.0,271.0,1_19_5
020011906,181.0,0.0,0.0,0.0,181.0,1_19_6
020011907,315.0,2.0,0.0,0.0,317.0,1_19_7
020011908,154.0,0.0,0.0,0.0,154.0,1_19_8
020011909,223.0,0.0,0.0,0.0,223.0,1_19_9
020012001,255.0,0.0,1.0,0.0,256.0,1_20_1
020012002,298.0,0.0,0.0,0.0,298.0,1_20_2
020012003,233.0,5.0,0.0,0.0,238.0,1_20_3
020012004,329.0,0.0,0.0,0.0,329.0,1_20_4
020012005,351.0,1.0,0.0,0.0,352.0,1_20_5
020012006,335.0,1.0,0.0,0.0,336.0,1_20_6
020012007,207.0,0.0,0.0,0.0,207.0,1_20_7
020012008,213.0,0.0,0.0,1.0,214.0,1_20_8
020012009,243.0,0.0,1.0,0.0,244.0,1_20_9
020012010,283.0,1.0,0.0,0.0,284.0,1_20_10
020012101,233.0,1.0,0.0,0.0,234.0,1_21_1
020012102,265.0,0.0,0.0,0.0,265.0,1_21_2
020012103,155.0,2.0,0.0,0.0,157.0,1_21_3
020012104,467.0,1.0,0.0,0.0,468.0,1_21_4
020012105,249.0,1.0,0.0,0.0,250.0,1_21_5
020012106,262.0,2.0,0.0,0.0,264.0,1_21_6
020012107,317.0,1.0,0.0,0.0,318.0,1_21_7
020012108,236.0,1.0,0.0,0.0,237.0,1_21_8
020012109,328.0,0.0,0.0,0.0,328.0,1_21_9
020012110,365.0,3.0,0.0,0.0,368.0,1_21_10
020012201,260.0,0.0,0.0,0.0,260.0,1_22_1
020012202,419.0,0.0,0.0,0.0,419.0,1_22_2
020012203,370.0,1.0,0.0,0.0,371.0,1_22_3
020012204,201.0,3.0,3.0,0.0,207.0,1_22_4
020012205,186.0,0.0,0.0,0.0,186.0,1_22_5
020012206,249.0,0.0,0.0,0.0,249.0,1_22_6
020012207,236.0,14.0,0.0,0.0,250.0,1_22_7
020012208,273.0,0.0,0.0,0.0,273.0,1_22_8
020012209,326.0,18.0,2.0,0.0,346.0,1_22_9
020012210,572.0,5.0,1.0,1.0,579.0,1_22_10
020012301,272.0,0.0,0.0,0.0,272.0,1_23_1
020012302,217.0,1.0,0.0,0.0,218.0,1_23_2
020012303,356.0,0.0,0.0,0.0,356.0,1_23_3
020012304,130.0,0.0,0.0,0.0,130.0,1_23_4
020012305,213.0,5.0,0.0,0.0,218.0,1_23_5
020012306,214.0,0.0,0.0,0.0,214.0,1_23_6
020012307,257.0,1.0,0.0,0.0,258.0,1_23_7
020012308,265.0,0.0,0.0,0.0,265.0,1_23_8
020012309,388.0,0.0,0.0,0.0,388.0,1_23_9
020012310,148.0,2.0,0.0,0.0,150.0,1_23_10
020012401,113.0,0.0,0.0,0.0,113.0,1_24_1
