Código,Sí,No,Total
020032308,218.0,117.0,335.0
020032309,207.0,134.0,341.0
020032310,251.0,138.0,389.0
020032401,185.0,116.0,301.0
020032402,201.0,134.0,335.0
020032403,193.0,83.0,276.0
020032404,186.0,124.0,310.0
020032405,144.0,80.0,224.0
020032406,235.0,138.0,373.0
020032407,224.0,73.0,297.0
020032408,179.0,136.0,315.0
020032409,132.0,53.0,185.0
020032501,416.0,92.0,508.0
020032502,171.0,122.0,293.0
020032503,104.0,101.0,205.0
020032504,173.0,97.0,270.0
020032505,192.0,102.0,294.0
020032506,201.0,132.0,333.0
020032507,140.0,83.0,223.0
020032508,477.0,233.0,710.0
020032509,176.0,136.0,312.0
020032601,256.0,139.0,395.0
020032602,296.0,136.0,432.0
020032603,197.0,137.0,334.0
020032604,155.0,72.0,227.0
020032605,224.0,114.0,338.0
020032606,169.0,77.0,246.0
020032607,201.0,110.0,311.0
020032608,153.0,91.0,244.0
020032609,185.0,104.0,289.0
020032701,271.0,126.0,397.0
020032702,218.0,112.0,330.0
020032703,244.0,110.0,354.0
020032704,207.0,106.0,313.0
020032705,197.0,119.0,316.0
020032706,196.0,101.0,297.0
020032707,226.0,141.0,367.0
020040101,126.0,119.0,245.0
020040102,114.0,147.0,261.0
020040103,100.0,115.0,215.0
020040104,105.0,129.0,234.0
020040105,80.0,147.0,227.0
020040106,75.0,126.0,201.0
020040107,87.0,81.0,168.0
020040108,108.0,114.0,222.0
020040109,122.0,101.0,223.0
020040110,83.0,73.0,156.0
020040111,92.0,108.0,200.0
020040112,100.0,83.0,183.0
020040113,68.0,68.0,136.0
020040114,122.0,113.0,235.0
020040201,147.0,126.0,273.0
020040202,156.0,124.0,280.0
020040203,200.0,179.0,379.0
020040204,154.0,119.0,273.0
020040205,101.0,126.0,227.0
020040206,138.0,119.0,257.0
020040207,182.0,128.0,310.0
020040208,103.0,86.0,189.0
020040209,112.0,97.0,209.0
020040210,141.0,168.0,309.0
020040301,209.0,133.0,342.0
020040302,166.0,131.0,297.0
020040303,130.0,90.0,220.0
020040304,169.0,128.0,297.0
020040305,222.0,139.0,361.0
020040306,187.0,109.0,296.0
020040307,154.0,75.0,229.0
020040308,177.0,97.0,274.0
020040309,117.0,66.0,183.0
020040310,174.0,119.0,293.0
020040311,156.0,151.0,307.0
020040312,205.0,136.0,341.0
020040313,100.0,97.0,197.0
020040401,144.0,92.0,236.0
020040402,212.0,83.0,295.0
020040403,206.0,114.0,320.0
020040404,216.0,114.0,330.0
020040405,232.0,134.0,366.0
020040406,167.0,119.0,286.0
020040407,205.0,124.0,329.0
020040408,154.0,131.0,285.0
020040409,164.0,121.0,285.0
020040410,139.0,133.0,272.0
020040411,183.0,159.0,342.0
020040501,242.0,127.0,369.0
020040502,146.0,111.0,257.0
020040503,214.0,117.0,331.0
020040504,155.0,124.0,279.0
020040505,127.0,76.0,203.0
020040506,236.0,112.0,348.0
020040507,150.0,101.0,251.0
020040508,149.0,97.0,246.0
020040509,330.0,295.0,625.0
020040510,210.0,185.0,395.0
020040511,185.0,155.0,340.0
020040601,303.0,118.0,421.0
020040602,228.0,91.0,319.0
020040603,195.0,90.0,285.0
020040604,221.0,98.0,319.0
020040605,167.0,108.0,275.0
020040606,261.0,114.0,375.0
020040607,191.0,115.0,306.0
020040608,207.0,110.0,317.0
020040609,185.0,89.0,274.0
020040610,154.0,61.0,215.0
020040611,182.0,64.0,246.0
020040701,215.0,85.0,300.0
020040702,222.0,68.0,290.0
020040703,170.0,131.0,301.0
020040704,530.0,283.0,813.0
020040705,178.0,118.0,296.0
020040706,191.0,96.0,287.0
020040707,218.0,96.0,314.0
020040708,187.0,99.0,286.0
020040709,174.0,98.0,272.0
020040710,165.0,121.0,286.0
020040711,140.0,71.0,211.0
020040712,143.0,125.0,268.0
020040801,195.0,109.0,304.0
020040802,223.0,88.0,311.0
020040803,149.0,91.0,240.0
020040804,178.0,113.0,291.0
020040805,178.0,90.0,268.0
020040806,175.0,99.0,274.0
020040807,557.0,276.0,833.0
020040808,51.0,45.0,96.0
