,Código,Con personas presentes,Con todas las personas temporalmente ausentes,En alquiler o venta,En construcción,"Se usa como comercio, oficina o consultorio","Se usa para vacaciones, fin de semana u otro uso temporal",Por otra razón,Total
86,0200406,3182.0,290.0,114.0,21.0,50.0,6.0,132.0,3795.0
87,0200407,3643.0,467.0,131.0,16.0,40.0,6.0,157.0,4460.0
88,0200408,3234.0,411.0,151.0,27.0,56.0,6.0,182.0,4067.0
89,0200409,1503.0,150.0,26.0,5.0,23.0,2.0,72.0,1781.0
90,0200410,3003.0,65.0,6.0,7.0,1.0,1.0,89.0,3172.0
91,0200411,2275.0,259.0,37.0,7.0,82.0,6.0,157.0,2823.0
92,0200412,2603.0,235.0,97.0,5.0,49.0,11.0,122.0,3122.0
93,0200413,2964.0,421.0,148.0,14.0,58.0,11.0,151.0,3767.0
94,0200414,2663.0,412.0,144.0,16.0,49.0,16.0,145.0,3445.0
95,0200415,3059.0,386.0,111.0,10.0,33.0,16.0,161.0,3776.0
96,0200416,3484.0,473.0,247.0,17.0,24.0,11.0,233.0,4489.0
97,0200417,2757.0,258.0,81.0,5.0,25.0,2.0,205.0,3333.0
98,0200418,42.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0
99,0200419,2805.0,191.0,54.0,8.0,18.0,7.0,89.0,3172.0
100,0200420,3420.0,231.0,120.0,3.0,20.0,3.0,140.0,3937.0
101,0200421,2841.0,146.0,41.0,3.0,12.0,0.0,108.0,3151.0
102,0200422,3527.0,445.0,122.0,23.0,59.0,7.0,162.0,4345.0
103,0200423,2788.0,264.0,75.0,11.0,32.0,4.0,142.0,3316.0
104,0200424,2165.0,29.0,6.0,6.0,3.0,2.0,60.0,2271.0
105,0200425,2298.0,43.0,5.0,8.0,0.0,0.0,35.0,2389.0
106,0200426,551.0,28.0,0.0,6.0,0.0,0.0,8.0,593.0
107,0200501,3167.0,505.0,225.0,6.0,57.0,20.0,164.0,4144.0
108,0200502,3420.0,512.0,181.0,11.0,120.0,22.0,215.0,4481.0
109,0200503,3138.0,416.0,178.0,22.0,80.0,28.0,245.0,4107.0
110,0200504,3215.0,484.0,161.0,6.0,90.0,25.0,133.0,4114.0
111,0200505,2829.0,383.0,122.0,10.0,91.0,13.0,137.0,3585.0
112,0200506,3464.0,503.0,166.0,12.0,113.0,12.0,166.0,4436.0
113,0200507,3037.0,391.0,161.0,11.0,66.0,13.0,209.0,3888.0
114,0200508,3425.0,438.0,112.0,11.0,141.0,18.0,165.0,4310.0
