,Código,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95 y más,Total
92,020010902,9.0,14.0,13.0,16.0,39.0,46.0,36.0,18.0,13.0,23.0,28.0,26.0,21.0,29.0,17.0,16.0,10.0,12.0,2.0,0.0,388.0
93,020010903,9.0,22.0,12.0,23.0,37.0,44.0,40.0,42.0,35.0,20.0,28.0,26.0,29.0,32.0,18.0,8.0,11.0,7.0,4.0,2.0,449.0
94,020010904,10.0,10.0,3.0,15.0,30.0,47.0,22.0,19.0,12.0,20.0,22.0,7.0,10.0,5.0,3.0,9.0,5.0,3.0,1.0,3.0,256.0
95,020010905,25.0,17.0,18.0,18.0,52.0,45.0,40.0,27.0,34.0,21.0,17.0,18.0,27.0,13.0,10.0,10.0,5.0,10.0,1.0,1.0,409.0
96,020010906,6.0,13.0,12.0,12.0,42.0,49.0,32.0,26.0,21.0,24.0,19.0,27.0,19.0,18.0,11.0,9.0,4.0,8.0,2.0,0.0,354.0
97,020010907,14.0,13.0,15.0,30.0,95.0,93.0,65.0,43.0,24.0,38.0,26.0,38.0,26.0,31.0,11.0,10.0,8.0,6.0,2.0,0.0,588.0
98,020010908,13.0,11.0,9.0,12.0,17.0,35.0,32.0,25.0,14.0,10.0,17.0,13.0,14.0,16.0,3.0,11.0,4.0,5.0,0.0,0.0,261.0
99,020010909,18.0,15.0,13.0,34.0,68.0,76.0,53.0,40.0,45.0,49.0,43.0,42.0,29.0,35.0,25.0,21.0,11.0,5.0,4.0,2.0,628.0
100,020010910,5.0,4.0,8.0,3.0,18.0,36.0,39.0,30.0,36.0,24.0,37.0,32.0,25.0,13.0,23.0,19.0,9.0,6.0,2.0,0.0,369.0
101,020010911,14.0,5.0,3.0,11.0,17.0,44.0,40.0,45.0,32.0,28.0,51.0,55.0,27.0,16.0,17.0,6.0,6.0,5.0,0.0,0.0,422.0
102,020010912,6.0,9.0,5.0,6.0,24.0,42.0,38.0,26.0,26.0,34.0,36.0,44.0,28.0,20.0,12.0,8.0,8.0,5.0,1.0,0.0,378.0
103,020010913,45.0,50.0,45.0,35.0,44.0,61.0,71.0,75.0,49.0,41.0,26.0,15.0,9.0,8.0,6.0,2.0,3.0,5.0,0.0,0.0,590.0
104,020010914,9.0,3.0,6.0,15.0,24.0,23.0,33.0,17.0,16.0,15.0,14.0,16.0,17.0,14.0,19.0,5.0,7.0,0.0,0.0,0.0,253.0
105,020010915,8.0,6.0,6.0,11.0,21.0,22.0,30.0,12.0,17.0,12.0,20.0,13.0,24.0,14.0,9.0,5.0,6.0,2.0,0.0,0.0,238.0
106,020010916,35.0,37.0,26.0,61.0,103.0,146.0,117.0,82.0,78.0,66.0,55.0,65.0,42.0,28.0,25.0,16.0,12.0,1.0,1.0,1.0,997.0
107,020010917,15.0,15.0,13.0,18.0,41.0,52.0,55.0,31.0,18.0,16.0,17.0,10.0,18.0,11.0,8.0,5.0,12.0,3.0,2.0,0.0,360.0
108,020010918,20.0,9.0,5.0,15.0,43.0,77.0,40.0,34.0,26.0,22.0,24.0,21.0,21.0,17.0,3.0,10.0,5.0,3.0,0.0,0.0,395.0
109,020010919,4.0,2.0,2.0,10.0,8.0,16.0,8.0,5.0,6.0,7.0,10.0,12.0,10.0,10.0,2.0,4.0,1.0,1.0,1.0,0.0,119.0
110,020011001,12.0,12.0,13.0,12.0,28.0,24.0,23.0,14.0,22.0,17.0,16.0,18.0,20.0,17.0,15.0,15.0,9.0,20.0,6.0,5.0,318.0
111,020011002,17.0,8.0,6.0,20.0,64.0,71.0,60.0,31.0,24.0,33.0,27.0,20.0,32.0,24.0,22.0,16.0,14.0,9.0,4.0,2.0,504.0
112,020011003,35.0,31.0,33.0,43.0,112.0,122.0,89.0,61.0,60.0,52.0,57.0,53.0,50.0,48.0,45.0,31.0,30.0,21.0,5.0,2.0,980.0
113,020011004,10.0,13.0,11.0,23.0,44.0,45.0,33.0,20.0,28.0,22.0,32.0,30.0,20.0,31.0,26.0,12.0,18.0,5.0,3.0,1.0,427.0
114,020011005,17.0,23.0,25.0,29.0,49.0,44.0,34.0,34.0,29.0,28.0,39.0,27.0,37.0,26.0,28.0,22.0,6.0,4.0,5.0,1.0,507.0
115,020011006,20.0,20.0,14.0,33.0,72.0,59.0,48.0,38.0,23.0,41.0,31.0,35.0,31.0,23.0,21.0,9.0,13.0,10.0,0.0,0.0,541.0
116,020011007,13.0,8.0,14.0,16.0,42.0,37.0,27.0,22.0,15.0,15.0,22.0,23.0,16.0,8.0,10.0,11.0,4.0,7.0,1.0,1.0,312.0
