longitud;latitud;fecha;calle;numero;m2;dolares;u_s_m2;fot;distrito_c;fuente_;cotiz;pesos;m2__pesos_;barrio;comuna
-58.4876;-34.6424;2001-12-10;AMEGHINO;600;330;105000;318.2;0;R2b II;argenprop;1;105000;318.2;PARQUE AVELLANEDA;9
-58.4455;-34.5731;2001-12-10;AMENABAR;600;270;175000;648.1;0;R2b I;argenprop;1;175000;648.1;COLEGIALES;13
-58.4611;-34.5604;2001-12-10;AMENABAR;2400;1100;1000000;909.1;0;R2a I;argenprop;1;1e+006;909.1;BELGRANO;13
-58.4632;-34.558;2001-12-10;AMENABAR;2700;165;140000;848.5;0;R2a II;argenprop;1;140000;848.5;BELGRANO;13
-58.4638;-34.5572;2001-12-10;AMENABAR;2800;374;280000;748.7;0;R2a II;argenprop;1;280000;748.7;BELGRANO;13
-58.4642;-34.5568;2001-12-10;AMENABAR;2866;377;270000;716.2;0;R2a II;expoclasificado;1;270000;716.2;BELGRANO;13
-58.4695;-34.5512;2001-12-10;AMENABAR;3500;188;138000;734;0;R2a II;argenprop;1;138000;734;NUÑEZ;13
-58.4965;-34.6093;2001-12-10;AMSTERDAM;3700;217;100000;460.8;0;R2b II;argenprop;1;100000;460.8;VILLA DEL PARQUE;11
-58.4119;-34.6092;2001-12-10;ANCHORENA;100;446;125000;280.3;0;C3 I;argenprop;1;125000;280.3;BALVANERA;3
-58.4109;-34.6051;2001-12-10;ANCHORENA;400;168;120000;714.3;0;E3;argenprop;1;120000;714.3;BALVANERA;3
-58.5174;-34.6537;2001-12-10;ANDALGALA;1400;743;235000;316.3;0;R2b I;argenprop;1;235000;316.3;MATADEROS;9
-58.5088;-34.6605;2001-12-10;ANDALGALA;2102;375;68000;181.3;0;E2;argenprop;1;68000;181.3;MATADEROS;9
-58.5076;-34.6614;2001-12-10;ANDALGALA;2198;312;58000;185.9;0;E2;argenprop;1;58000;185.9;MATADEROS;9
-58.4371;-34.6047;2001-12-10;GALLARDO ANGEL;500;1155;800000;692.6;0;UP;argenprop;1;800000;692.6;CABALLITO;6
-58.4452;-34.6157;2001-12-10;ARANGUREN;900;216;115000;532.4;0;R2a II;argenprop;1;115000;532.4;CABALLITO;6
-58.4484;-34.6171;2001-12-10;ARANGUREN;1100;277;130000;469.3;0;R2a II;argenprop;1;130000;469.3;CABALLITO;6
-58.4617;-34.622;2001-12-10;ARANGUREN;2100;250;125000;500;0;R2a II;argenprop;1;125000;500;FLORES;7
-58.4707;-34.6249;2001-12-10;ARANGUREN;2800;550;250000;454.5;0;R2a II;argenprop;1;250000;454.5;FLORES;7
-58.4842;-34.6284;2001-12-10;ARANGUREN;3900;349;145000;415.5;0;R2a II;argenprop;1;145000;415.5;FLORESTA;10
-58.4423;-34.6146;2001-12-10;ARANGUREN;700;153;85000;555.6;0;R2a II;argenprop;1;85000;555.6;CABALLITO;6
-58.4493;-34.6175;2001-12-10;ARANGUREN;1200;320;115000;359.4;0;R2a II;argenprop;1;115000;359.4;CABALLITO;6
-58.4891;-34.6301;2001-12-10;ARANGUREN;4300;268;100000;373.1;0;R2b II;argenprop;1;100000;373.1;VELEZ SARFIELD;10
-58.4923;-34.6316;2001-12-10;ARANGUREN;4600;472;105000;222.5;0;R2b II;argenprop;1;105000;222.5;VELEZ SARFIELD;10
-58.4406;-34.6019;2001-12-10;ARAOZ;100;376;265000;704.8;0;E1;argenprop;1;265000;704.8;VILLA CRESPO;15
-58.437;-34.5997;2001-12-10;ARAOZ;400;520;280000;538.5;0;C3 I;argenprop;1;280000;538.5;VILLA CRESPO;15
-58.4106;-34.5825;2001-12-10;ARAOZ;3986;398;210000;527.6;0;R2a I;argenprop;1;210000;527.6;PALERMO;14
-58.3651;-34.6397;2001-12-10;ARAOZ DE LAMADRID;900;214;50000;233.6;0;E3 2;argenprop;1;50000;233.6;BOCA;4
-58.3654;-34.6397;2001-12-10;ARAOZ DE LAMADRID;930;214;50000;233.6;0;E3 2;argenprop;1;50000;233.6;BOCA;4
-58.5069;-34.6395;2001-12-10;ARAUJO;100;162;57000;351.9;0;R2a II;expoclasificado;1;57000;351.9;VILLA LURO;10
-58.5028;-34.6426;2001-12-10;ARAUJO;500;3705;980000;264.5;0;R2b I;argenprop;1;980000;264.5;VILLA LURO;10
-58.4343;-34.5755;2001-12-10;AREVALO;2500;831;350000;421.2;0;UF;argenprop;1;350000;421.2;PALERMO;14
-58.4588;-34.5549;2001-12-10;ARCOS;2700;260;230000;884.6;0;R2a II;argenprop;1;230000;884.6;BELGRANO;13
-58.4642;-34.5491;2001-12-10;ARCOS;3400;381;198000;519.7;0;R2b I;argenprop;1;198000;519.7;NUÑEZ;13
-58.4389;-34.5794;2001-12-10;AREVALO;1900;307;220000;716.6;0;U20;argenprop;1;220000;716.6;PALERMO;14
-58.4377;-34.5784;2001-12-10;AREVALO;2000;623;470000;754.4;0;U20;argenprop;1;470000;754.4;PALERMO;14
-58.4377;-34.5784;2001-12-10;AREVALO;2000;623;470000;754.4;0;U20;argenprop;1;470000;754.4;PALERMO;14
-58.432;-34.5728;2001-12-10;AREVALO;2800;266;320000;1203;0;R2b I 1;argenprop;1;320000;1203;PALERMO;14
-58.4318;-34.5726;2001-12-10;AREVALO;2830;190;300000;1578.9;0;R2b I 1;argenprop;1;300000;1578.9;PALERMO;14
-58.4799;-34.673;2001-12-10;ARGENTINA;5700;360;100000;277.8;0;R2b II;argenprop;1;100000;277.8;VILLA LUGANO;8
-58.482;-34.6132;2001-12-10;ARGERICH;1900;280;130000;464.3;0;R2a II;argenprop;1;130000;464.3;VILLA SANTA RITA;11
-58.5029;-34.588;2001-12-10;ARGERICH;4600;188;80000;425.5;0;R2a II;argenprop;1;80000;425.5;VILLA PUYRREDON;12
-58.3686;-34.6356;2001-12-10;DEL VALLE ARISTOBULO;1120;350;115000;328.6;0;E3 2;argenprop;1;115000;328.6;BOCA;4
-58.3731;-34.6361;2001-12-10;DEL VALLE ARISTOBULO;1520;540;300000;555.6;0;R2b I;argenprop;1;300000;555.6;BARRACAS;4
-58.4781;-34.5754;2001-12-10;ARIZONA;4700;147;105000;714.3;0;R2b I;argenprop;1;105000;714.3;VILLA URQUIZA;12
-58.4781;-34.5754;2001-12-10;ARIZONA;4700;162;76900;474.7;0;R2b I;argenprop;1;76900;474.7;VILLA URQUIZA;12
-58.4507;-34.567;2001-12-10;ARREDONDO;2400;430;500000;1162.8;0;C3 I;argenprop;1;500000;1162.8;COLEGIALES;13
-58.4511;-34.5676;2001-12-10;ARREDONDO;2450;380;500000;1315.8;0;R2a I;argenprop;1;500000;1315.8;COLEGIALES;13
-58.5175;-34.6262;2001-12-10;ARREGUI;571;571;300000;525.4;0;R1b I;argenprop;1;300000;525.4;MONTE CASTRO;10
-58.4785;-34.6016;2001-12-10;ARREGUI;2300;808;140000;173.3;0;R2b II;argenprop;1;140000;173.3;VILLA DEL PARQUE;11
-58.511;-34.6204;2001-12-10;ARREGUI;5100;1700;300000;176.5;0;R2b II;argenprop;1;300000;176.5;MONTE CASTRO;10
-58.4447;-34.5649;2001-12-10;ARRIBEÑOS;1400;261;295000;1130.3;0;R1a;argenprop;1;295000;1130.3;PALERMO;14
-58.4541;-34.5536;2001-12-10;ARRIBEÑOS;2600;407;260000;638.8;0;E3;argenprop;1;260000;638.8;BELGRANO;13
-58.46;-34.546;2001-12-10;ARRIBEÑOS;3500;225;300000;1333.3;0;R2b I;argenprop;1;300000;1333.3;NUÑEZ;13
-58.4539;-34.5709;2001-12-10;ARREDONDO;2800;219;165000;753.4;0;R2b I;argenprop;1;165000;753.4;COLEGIALES;13
-58.5059;-34.6529;2001-12-10;ARTIGAS JOSE;6500;1029;250000;243;0;R2a II;argenprop;1;250000;243;MATADEROS;9
-58.4749;-34.6108;2001-12-10;ARTIGAS JOSE;1800;250;120000;480;0;R2b II;argenprop;1;120000;480;VILLA GENERAL MITRE;11
-58.4749;-34.6108;2001-12-10;ARTIGAS JOSE;1800;250;98000;392;0;R2b II;argenprop;1;98000;392;VILLA GENERAL MITRE;11
-58.4757;-34.6098;2001-12-10;ARTIGAS JOSE;1900;207;125000;603.9;0;R2b II;argenprop;1;125000;603.9;VILLA GENERAL MITRE;11
-58.4834;-34.6003;2001-12-10;ARTIGAS JOSE;2800;316;85000;269;0;R2a II;argenprop;1;85000;269;VILLA DEL PARQUE;11
-58.5021;-34.5788;2001-12-10;ARTIGAS JOSE;5300;199;75000;376.9;0;C3 II;argenprop;1;75000;376.9;VILLA PUYRREDON;12
-58.4272;-34.6317;2001-12-10;ASAMBLEA, AV.;100;385;140000;363.6;0;C3 II;argenprop;1;140000;363.6;PARQUE CHACABUCO;7
-58.4296;-34.6321;2001-12-10;ASAMBLEA, AV.;300;892;450000;504.5;0;C3 II;argenprop;1;450000;504.5;PARQUE CHACABUCO;7
-58.4326;-34.6341;2001-12-10;ASAMBLEA, AV.;500;350;160000;457.1;0;C3 II;argenprop;1;160000;457.1;PARQUE CHACABUCO;7
-58.4515;-34.5522;2001-12-10;TEGUCIGALPA;1800;5000;3500000;700;0;R1b I 4;argenprop;1;3.5e+006;700;BELGRANO;13
-58.4993;-34.6219;2001-12-10;ATAHUALPA;1600;450;95000;211.1;0;R2b II;argenprop;1;95000;211.1;VELEZ SARFIELD;10
-58.4346;-34.6129;2001-12-10;AVELLANEDA, AV.;300;170;210000;1235.3;0;R2a II;argenprop;1;210000;1235.3;CABALLITO;6
-58.4346;-34.6129;2001-12-10;AVELLANEDA, AV.;300;355;190000;535.2;0;R2a II;argenprop;1;190000;535.2;CABALLITO;6
-58.4418;-34.6158;2001-12-10;AVELLANEDA, AV.;800;1568;1700000;1084.2;0;R2a II;argenprop;1;1.7e+006;1084.2;CABALLITO;6
-58.455;-34.621;2001-12-10;AVELLANEDA, AV.;1700;420;195000;464.3;0;R2a II;argenprop;1;195000;464.3;CABALLITO;6
-58.4621;-34.6235;2001-12-10;AVELLANEDA, AV.;2200;426;275000;645.5;0;R2a II;argenprop;1;275000;645.5;FLORES;7
-58.4823;-34.6293;2001-12-10;AVELLANEDA, AV.;3800;350;240000;685.7;0;R2a II;argenprop;1;240000;685.7;FLORESTA;10
-58.4836;-34.6296;2001-12-10;AVELLANEDA, AV.;3900;503;220000;437.4;0;R2a II;argenprop;1;220000;437.4;FLORESTA;10
-58.3956;-34.6033;2001-12-10;AYACUCHO;500;565;470000;831.9;0;C3 I;argenprop;1;470000;831.9;BALVANERA;3
-58.4731;-34.6377;2001-12-10;AZUL;540;456;112000;245.6;0;R2b II;clarin;1;112000;245.6;PARQUE AVELLANEDA;9
-58.494;-34.6345;2001-12-10;BACACAY;4800;268;160000;597;0;R2b II;argenprop;1;160000;597;VELEZ SARFIELD;10
-58.4332;-34.571;2001-12-10;BAEZ;500;545;650000;1192.7;0;R2a I;argenprop;1;650000;1192.7;PALERMO;14
-58.4851;-34.6245;2001-12-10;BAHIA BLANCA;1000;346;95000;274.6;0;E3;argenprop;1;95000;274.6;FLORESTA;10
-58.4942;-34.6169;2001-12-10;BAHIA BLANCA;1865;433;110000;254;0;R2b II;expoclasificado;1;110000;254;LINIERS;10
