,BARRIO,CALLE,COMUNA,DOLARES,YEAR,FECHA,LAT,LON,M2,NUMERO,U_S_M2,CO_FRACC,CO_FRAC_RA
15836,SAN CRISTOBAL,"GARAY, JUAN DE",3.0,385000.0,2014,2015/02/20,-34.6291676383,-58.4065137144,212.0,3000,1816.0,003_26,3_26_9
15837,SAN CRISTOBAL,"GARAY, JUAN DE",3.0,520000.0,2014,2015/02/20,-34.6297563441,-58.4099059945,326.0,3200,1595.1,003_26,3_26_7
15838,BOEDO,"GARAY, JUAN DE",5.0,240000.0,2014,2015/02/19,-34.6308861663,-58.4145146345,260.0,3500,923.1,005_20,5_20_4
15839,BOEDO,"GARAY, JUAN DE",5.0,240000.0,2014,2015/02/13,-34.6308861663,-58.4145146345,369.0,3500,650.4,005_20,5_20_4
15840,PATERNAL,"GARCIA, JUAN AGUSTIN",15.0,270000.0,2014,2015/02/19,-34.600140144,-58.4652021162,160.0,1400,1687.5,015_8,15_8_8
15841,VILLA SANTA RITA,"GARCIA, JUAN AGUSTIN",11.0,169000.0,2014,,-34.6129533134,-58.4873711976,140.0,3300,1207.1,011_15,11_15_4
15842,VILLA LURO,"GARCIA, JUAN AGUSTIN",10.0,770000.0,2014,,-34.6291088637,-58.5092511154,902.0,5500,853.7,010_8,10_8_4
15843,PARQUE PATRICIOS,"GARCIA, MANUEL",4.0,120000.0,2014,,-34.6406521555,-58.3957231827,195.0,400,615.4,004_8,4_8_9
15844,PARQUE PATRICIOS,"GARCIA, MANUEL",4.0,170000.0,2014,2015/02/19,-34.6406521555,-58.3957231827,238.0,400,714.3,004_8,4_8_9
15845,PARQUE PATRICIOS,"GARCIA, MANUEL",4.0,236000.0,2014,2015/02/19,-34.6406521555,-58.3957231827,489.0,400,482.6,004_8,4_8_9
15846,PALERMO,"GARCIA, TEODORO",14.0,2200000.0,2014,2015/02/13,-34.5673173871,-58.4438582691,1200.0,2200,1833.3,014_1,14_1_8
15847,BALVANERA,"GARDEL, CARLOS",3.0,635000.0,2014,2015/02/13,-34.6035134545,-58.4087189336,900.0,3100,705.6,003_1,3_1_8
15848,PARQUE AVELLANEDA,"GARZON, EUGENIO, GRAL.",9.0,215000.0,2014,2015/02/18,-34.6416849418,-58.4748792786,540.0,3800,398.1,009_11,9_11_7
